Regulon	Size	NES	p.value	FDR	Sign
CD74	30	2.79	0.00531	0.0978	+
MAZ	157	2.78	0.00547	0.0987	+
MSC	100	2.78	0.0055	0.0988	+
ZNF622	112	2.77	0.00554	0.0992	+
MECOM	247	2.77	0.00564	0.1	+
PML	192	2.77	0.00565	0.1	+
GMIP	26	2.76	0.00571	0.101	+
ELMO1	34	2.76	0.00577	0.101	+
E2F2	86	2.76	0.00584	0.101	+
B2M	27	2.76	0.00586	0.101	+
ACKR3	30	2.73	0.00636	0.109	+
ARRDC2	47	2.72	0.0065	0.111	+
NDC80	56	2.72	0.00654	0.111	+
NME1-NME2	37	2.71	0.00665	0.112	+
IFNAR2	38	2.71	0.00673	0.113	+
RHBDL2	26	2.71	0.00674	0.113	+
BTG1	184	2.7	0.00687	0.115	+
RNF10	184	2.7	0.00696	0.116	+
HOXB6	49	2.69	0.00706	0.116	+
RBCK1	93	2.68	0.00744	0.121	+
IRF1	43	2.68	0.00744	0.121	+
BACH1	100	2.66	0.00775	0.124	+
RGL3	53	2.66	0.00778	0.124	+
LTBR	83	2.66	0.00788	0.124	+
TYROBP	49	2.66	0.00791	0.124	+
ADA	52	2.64	0.00818	0.128	+
RAD51	55	2.64	0.00824	0.128	+
CR1	32	2.64	0.00827	0.128	+
ITGA4	45	2.64	0.00834	0.128	+
PKN1	30	2.64	0.00834	0.128	+
MZF1	104	2.63	0.00841	0.129	+
ESRRG	201	2.63	0.00854	0.13	+
RAPGEF3	58	2.63	0.00856	0.13	+
SCTR	44	2.63	0.00866	0.131	+
PRKAR2B	45	2.62	0.00869	0.131	+
CAV2	88	2.6	0.00926	0.138	+
PSPC1	90	2.6	0.00938	0.139	+
CACNB4	31	2.59	0.00948	0.139	+
OR10A7	34	2.59	0.0095	0.139	+
RGS19	29	2.58	0.00987	0.143	+
ZNF44	89	2.58	0.00992	0.143	+
POU2F2	52	2.56	0.0103	0.148	+
ADGRF3	45	2.56	0.0104	0.148	+
STK10	36	2.56	0.0106	0.15	+
UBC	25	2.55	0.0106	0.15	+
ZNF789	82	2.55	0.0108	0.152	+
TP53	87	2.54	0.011	0.153	+
CD7	26	2.54	0.0111	0.153	+
DEPDC4	31	2.54	0.0112	0.154	+
OR9A4	29	2.54	0.0112	0.154	+
TPM3	38	2.53	0.0113	0.154	+
CENPF	363	2.53	0.0114	0.154	+
RUNX2	110	2.53	0.0114	0.155	+
KDM3A	98	2.53	0.0115	0.155	+
ENO1	84	2.52	0.0118	0.157	+
LYL1	123	2.52	0.0119	0.158	+
ZNF444	83	2.51	0.0119	0.158	+
PARP14	188	2.51	0.012	0.158	+
ICMT	48	2.51	0.012	0.158	+
PRSS8	61	2.51	0.012	0.158	+
TRAFD1	29	2.51	0.0121	0.158	+
CSDC2	157	2.51	0.0122	0.158	+
SOX30	46	2.5	0.0124	0.16	+
PIK3CG	35	2.5	0.0126	0.16	+
RRAGC	36	2.49	0.0126	0.16	+
MED12L	26	2.49	0.0127	0.16	+
ZNF641	44	2.49	0.0128	0.16	+
APP	72	2.49	0.0129	0.161	+
RBL1	73	2.48	0.0131	0.162	+
MYCN	65	2.48	0.0131	0.162	+
TOP2A	171	2.48	0.0131	0.162	+
GDF6	247	2.48	0.0132	0.162	+
TRIP13	611	2.47	0.0134	0.163	+
POLD1	46	2.47	0.0134	0.164	+
LITAF	127	2.46	0.0139	0.166	+
TCERG1	141	2.46	0.0139	0.166	+
FCGRT	30	2.46	0.0139	0.166	+
TYK2	91	2.45	0.0143	0.168	+
ZNF582	70	2.45	0.0144	0.168	+
SIGLEC8	30	2.44	0.0145	0.169	+
ICAM1	354	2.44	0.0148	0.171	+
MAGI2	35	2.43	0.015	0.173	+
MNDA	255	2.43	0.0152	0.175	+
WNK1	90	2.42	0.0154	0.176	+
ZNF233	28	2.42	0.0154	0.176	+
ZNF469	192	2.42	0.0155	0.176	+
ZNF804B	78	2.42	0.0155	0.176	+
FANCA	30	2.42	0.0155	0.176	+
VAV1	186	2.41	0.0158	0.178	+
UIMC1	42	2.41	0.0159	0.178	+
OR2T34	28	2.41	0.0159	0.178	+
BCL11A	27	2.41	0.0161	0.179	+
RPS27A	33	2.4	0.0163	0.181	+
OR9G4	31	2.4	0.0166	0.183	+
ATF7	57	2.4	0.0166	0.183	+
UBA52	67	2.39	0.0167	0.183	+
PPT1	39	2.39	0.0167	0.183	+
STAT2	106	2.39	0.0167	0.183	+
YBX1	50	2.39	0.0168	0.183	+
CREG1	96	2.39	0.0171	0.184	+
HSP90AA1	41	2.38	0.0172	0.185	+
ADGRG1	27	2.38	0.0174	0.187	+
ATF2	96	2.37	0.0177	0.189	+
PFN1	311	2.37	0.0179	0.19	+
GPSM3	32	2.36	0.0181	0.191	+
RAB31	47	2.36	0.0185	0.193	+
SH2B3	63	2.35	0.0187	0.193	+
ADGRL1	60	2.35	0.0188	0.194	+
GDF7	103	2.35	0.019	0.194	+
ARL8B	193	2.34	0.019	0.195	+
ZCCHC8	56	2.34	0.0191	0.195	+
ITGA5	139	2.34	0.0193	0.195	+
CHEK2	37	2.34	0.0195	0.196	+
RND2	36	2.34	0.0195	0.196	+
AATF	128	2.33	0.0197	0.196	+
E2F1	82	2.33	0.02	0.198	+
ZNF684	71	2.32	0.0201	0.198	+
HMGB2	86	2.32	0.0204	0.199	+
ERBB2	77	2.32	0.0204	0.199	+
CAMK2A	172	2.32	0.0205	0.199	+
ZNF688	65	2.32	0.0205	0.199	+
PLCD4	27	2.32	0.0205	0.199	+
MYC	68	2.32	0.0205	0.199	+
TNFRSF4	480	2.31	0.021	0.202	+
PA2G4	151	2.3	0.0212	0.204	+
DMTF1	128	2.3	0.0215	0.205	+
MIF	88	2.29	0.0218	0.206	+
ZDHHC20	134	2.29	0.0222	0.209	+
CREBRF	97	2.29	0.0222	0.209	+
HES4	126	2.28	0.0224	0.21	+
ATAD2	72	2.28	0.0225	0.21	+
NME2	145	2.28	0.0229	0.213	+
TRIB3	33	2.27	0.0231	0.213	+
FBXO6	38	2.27	0.0231	0.213	+
ARHGAP33	73	2.27	0.0232	0.213	+
TXNDC17	142	2.27	0.0233	0.213	+
PTPRN	29	2.27	0.0233	0.213	+
CDCA7L	200	2.27	0.0234	0.213	+
DLL4	32	2.25	0.0243	0.219	+
ASXL2	260	2.25	0.0243	0.219	+
IKZF1	201	2.25	0.0245	0.22	+
CEBPA	62	2.24	0.0253	0.225	+
OR6C1	40	2.24	0.0253	0.225	+
CDH1	466	2.23	0.0255	0.226	+
ZSCAN1	26	2.23	0.0258	0.227	+
ZMYND15	43	2.23	0.0259	0.227	+
KLHL12	32	2.23	0.0261	0.228	+
RUVBL2	155	2.22	0.0261	0.228	+
TBX5	45	2.22	0.0265	0.23	+
APBA3	29	2.22	0.0266	0.231	+
PILRB	55	2.21	0.027	0.234	+
TOX2	80	2.21	0.0271	0.234	+
HOXC9	79	2.21	0.0272	0.234	+
ZAP70	48	2.21	0.0273	0.234	+
THRA	82	2.21	0.0274	0.234	+
RPL6	144	2.2	0.0277	0.235	+
ZNF778	37	2.2	0.0277	0.235	+
PSMD9	101	2.2	0.0278	0.235	+
NACA	141	2.2	0.0281	0.236	+
ZNF683	37	2.2	0.0281	0.236	+
ZNF98	26	2.19	0.0282	0.236	+
IRF8	72	2.19	0.0282	0.236	+
TAF12	40	2.19	0.0283	0.236	+
FOXJ2	128	2.19	0.0283	0.236	+
ZNF581	137	2.19	0.0287	0.238	+
GNA15	25	2.18	0.029	0.239	+
CENPK	171	2.18	0.0291	0.239	+
SCARF1	38	2.18	0.0291	0.239	+
OXER1	54	2.18	0.0292	0.239	+
C1QBP	138	2.18	0.0296	0.241	+
RAB40B	43	2.18	0.0296	0.241	+
GTSE1	93	2.17	0.0298	0.241	+
EMX1	83	2.17	0.0298	0.241	+
LRCH4	202	2.17	0.0299	0.241	+
MCM6	82	2.17	0.03	0.241	+
HLX	123	2.17	0.0301	0.241	+
PHB2	114	2.17	0.0302	0.241	+
ARNTL2	130	2.17	0.0302	0.241	+
IDH1	73	2.17	0.0302	0.241	+
FOXN2	46	2.17	0.0303	0.242	+
WWTR1	81	2.16	0.0304	0.242	+
ARHGAP26	75	2.16	0.0307	0.243	+
TLE2	67	2.16	0.0308	0.243	+
RFXANK	125	2.16	0.031	0.243	+
WDR90	54	2.16	0.0311	0.243	+
FOXJ1	32	2.16	0.0311	0.243	+
PPP2R2B	28	2.16	0.0311	0.243	+
IFNG	248	2.15	0.0312	0.243	+
CDCA7	108	2.15	0.0313	0.243	+
FGD6	59	2.15	0.0315	0.244	+
CREB3L3	116	2.15	0.0316	0.244	+
PNRC1	111	2.15	0.0317	0.244	+
XPO1	52	2.15	0.0319	0.244	+
VDR	45	2.15	0.0319	0.244	+
EBF1	85	2.14	0.032	0.244	+
CIITA	112	2.14	0.0321	0.244	+
HIST1H2AG	27	2.14	0.0322	0.244	+
PEG3	94	2.14	0.0323	0.244	+
ATF4	103	2.14	0.0323	0.244	+
ALX1	33	2.14	0.0323	0.244	+
CHST11	66	2.14	0.0328	0.244	+
GNAI1	57	2.13	0.0328	0.244	+
CABYR	31	2.13	0.0328	0.244	+
SFMBT2	151	2.13	0.0328	0.244	+
ADGRV1	36	2.13	0.0329	0.244	+
CIR1	38	2.13	0.0329	0.244	+
SMAD5-AS1	41	2.13	0.0329	0.244	+
HOMER1	58	2.13	0.033	0.244	+
RPS14	121	2.13	0.0335	0.247	+
HDAC9	89	2.12	0.0338	0.248	+
ASB8	53	2.12	0.0338	0.248	+
ZNF83	85	2.12	0.0343	0.248	+
PRKAB1	33	2.12	0.0344	0.248	+
DNMT1	181	2.11	0.0345	0.248	+
ZNF843	31	2.11	0.0347	0.248	+
CSRNP3	48	2.11	0.0348	0.248	+
TAOK1	88	2.11	0.0349	0.248	+
ARHGEF33	58	2.11	0.0349	0.248	+
PCGF2	109	2.11	0.0349	0.248	+
MED24	51	2.11	0.0349	0.248	+
SNAI3	28	2.11	0.035	0.248	+
FANCL	54	2.11	0.035	0.249	+
PYCARD	50	2.11	0.0351	0.249	+
OR4D9	30	2.1	0.0354	0.25	+
SLC11A1	236	2.1	0.0355	0.25	+
PLEKHG4B	26	2.1	0.0356	0.25	+
SPHK2	39	2.1	0.0358	0.251	+
PSMC3IP	63	2.1	0.0358	0.251	+
HEY1	37	2.1	0.0361	0.251	+
PDGFRB	52	2.09	0.0362	0.251	+
TBX3	46	2.09	0.0363	0.251	+
APBB1IP	42	2.09	0.0365	0.251	+
PARP15	467	2.09	0.0365	0.251	+
EGLN1	173	2.09	0.0366	0.251	+
HKR1	66	2.09	0.0366	0.251	+
NOTCH3	99	2.09	0.0366	0.251	+
TGM2	35	2.09	0.0369	0.251	+
ZNF519	30	2.09	0.037	0.251	+
RIPK2	36	2.09	0.037	0.251	+
PFDN5	132	2.08	0.0371	0.251	+
RASSF4	55	2.08	0.0371	0.251	+
NFATC2	59	2.08	0.0372	0.251	+
GTF2I	25	2.08	0.0373	0.251	+
IL1RL1	41	2.08	0.0374	0.252	+
IRAK3	26	2.08	0.0375	0.252	+
E2F7	65	2.08	0.0377	0.253	+
SBNO2	229	2.08	0.0378	0.253	+
STAT4	77	2.07	0.0382	0.255	+
PCNA	50	2.07	0.0384	0.255	+
P2RY11	29	2.07	0.0384	0.255	+
CASP3	28	2.07	0.0387	0.255	+
BAMBI	36	2.07	0.0387	0.255	+
ZNF804A	43	2.07	0.0387	0.255	+
INHBA	363	2.07	0.0387	0.255	+
CYTH4	29	2.07	0.0388	0.256	+
PIKFYVE	72	2.06	0.039	0.256	+
ARHGEF1	99	2.06	0.039	0.256	+
ARL4C	48	2.06	0.039	0.256	+
STAT6	81	2.06	0.0391	0.256	+
ZNF564	57	2.06	0.0391	0.256	+
PCSK6	30	2.06	0.0391	0.256	+
PCGF6	106	2.06	0.0393	0.256	+
ATF7IP	61	2.06	0.0395	0.256	+
MAP4K4	69	2.06	0.0396	0.256	+
TBK1	73	2.05	0.0399	0.257	+
CAMLG	46	2.05	0.0401	0.258	+
GMCL1	86	2.05	0.0405	0.26	+
ZFP3	30	2.05	0.0408	0.26	+
EDAR	31	2.04	0.0409	0.26	+
MTF2	33	2.04	0.0409	0.26	+
IGF1	241	2.04	0.0409	0.26	+
HOXB9	183	2.04	0.0414	0.261	+
MYBL2	245	2.04	0.0416	0.261	+
SPIC	33	2.04	0.0416	0.261	+
FH	117	2.04	0.0417	0.261	+
TONSL	91	2.04	0.0418	0.261	+
CDK4	73	2.03	0.042	0.262	+
CDK12	101	2.03	0.0422	0.263	+
MPP2	42	2.03	0.0423	0.263	+
SUDS3	116	2.03	0.0424	0.263	+
LCP2	86	2.03	0.0426	0.264	+
ZNF524	57	2.03	0.0428	0.264	+
PPP1R9B	58	2.02	0.0431	0.266	+
TAF5	51	2.02	0.0433	0.266	+
BUD31	95	2.02	0.0433	0.266	+
MLX	119	2.02	0.0434	0.266	+
DTX1	53	2.02	0.0435	0.266	+
SPHK1	67	2.02	0.0436	0.266	+
KEAP1	62	2.02	0.0438	0.267	+
CNBP	75	2.01	0.0442	0.269	+
ATP2A2	28	2.01	0.0444	0.269	+
PTPRC	41	2.01	0.0445	0.269	+
TIMM50	145	2	0.0451	0.272	+
SNX17	81	2	0.0453	0.273	+
ZNF587	45	2	0.0455	0.273	+
HOXD8	108	2	0.0457	0.273	+
GPR4	38	1.99	0.0463	0.275	+
TFAP2A	80	1.99	0.0466	0.275	+
ZNF624	57	1.99	0.0466	0.275	+
HIVEP3	83	1.99	0.0466	0.275	+
RASGRP3	25	1.99	0.0469	0.275	+
ZC3HAV1	28	1.99	0.0469	0.275	+
KAT2A	185	1.99	0.0469	0.275	+
TNFRSF1A	72	1.99	0.047	0.275	+
SARNP	60	1.98	0.0474	0.276	+
ZNHIT3	86	1.98	0.0476	0.276	+
WNT1	189	1.98	0.0476	0.276	+
IQGAP3	38	1.98	0.0477	0.277	+
TAS2R5	38	1.98	0.0478	0.277	+
TRAK2	87	1.98	0.048	0.278	+
FOXP2	78	1.98	0.0482	0.278	+
GNA13	56	1.97	0.0484	0.278	+
CXCR4	39	1.97	0.0486	0.279	+
SUFU	47	1.97	0.0487	0.279	+
GABPB1	153	1.97	0.0488	0.279	+
NPM1	67	1.97	0.0489	0.279	+
ARAP2	30	1.96	0.0496	0.281	+
CCNE1	96	1.96	0.0497	0.281	+
SOX15	48	1.96	0.0497	0.281	+
IL27RA	29	1.96	0.0498	0.281	+
FOXN4	27	1.96	0.0498	0.281	+
ZC3H10	71	1.96	0.0504	0.283	+
HOMER3	31	1.96	0.0504	0.283	+
BLOC1S2	109	1.95	0.0507	0.283	+
GPRC5A	72	1.95	0.0507	0.283	+
GRAP	28	1.95	0.0511	0.283	+
TBX21	68	1.95	0.0512	0.284	+
ARHGAP44	28	1.95	0.0513	0.284	+
KLF5	34	1.95	0.0514	0.284	+
ZNF205	152	1.95	0.0517	0.284	+
ANXA4	84	1.94	0.0519	0.284	+
KLHL6	32	1.94	0.0519	0.284	+
CDC5L	58	1.94	0.052	0.284	+
UNC119	76	1.94	0.0521	0.284	+
RPS6KB2	41	1.94	0.0521	0.284	+
TAS2R20	37	1.94	0.0522	0.284	+
GIPC1	96	1.94	0.0523	0.284	+
TNK1	61	1.94	0.0524	0.284	+
CHD3	254	1.94	0.0524	0.284	+
RIT1	65	1.94	0.0527	0.285	+
STK36	201	1.94	0.0528	0.285	+
SOHLH2	37	1.94	0.0529	0.285	+
ZFR	128	1.94	0.0529	0.285	+
RCBTB1	127	1.93	0.053	0.285	+
ING3	79	1.93	0.053	0.285	+
LANCL1	57	1.93	0.0535	0.286	+
STRN	125	1.93	0.0537	0.287	+
UBE2C	129	1.93	0.054	0.288	+
TIMELESS	138	1.92	0.0543	0.288	+
CDK5R1	31	1.92	0.0546	0.289	+
SOX5	54	1.92	0.055	0.291	+
ARHGAP9	29	1.92	0.0552	0.291	+
TLR3	101	1.91	0.0556	0.292	+
NBN	30	1.91	0.0557	0.292	+
ZNF227	30	1.91	0.0561	0.293	+
DLX3	48	1.91	0.0562	0.293	+
GHR	62	1.91	0.0564	0.294	+
OR8H2	28	1.91	0.0566	0.294	+
NCLN	42	1.91	0.0567	0.294	+
BAZ1B	41	1.9	0.0568	0.294	+
TMEM101	75	1.9	0.0569	0.294	+
MAP2K1	28	1.9	0.0574	0.296	+
PLXND1	65	1.9	0.0578	0.296	+
TMPO	79	1.9	0.0578	0.296	+
SLC26A3	33	1.9	0.0579	0.296	+
RASAL3	58	1.9	0.058	0.296	+
RELA	66	1.89	0.0583	0.297	+
STAT5A	37	1.89	0.0586	0.298	+
STXBP4	36	1.89	0.0588	0.298	+
CUX1	75	1.89	0.0588	0.298	+
EPO	89	1.89	0.0591	0.298	+
BASP1	274	1.89	0.0591	0.298	+
RB1	56	1.88	0.0595	0.299	+
GNG7	33	1.88	0.0595	0.299	+
HIST1H2BC	28	1.88	0.0598	0.3	+
RAPGEF6	93	1.88	0.06	0.301	+
NLE1	70	1.88	0.06	0.301	+
ZNF735	30	1.88	0.0601	0.301	+
ZNF354B	52	1.88	0.0603	0.301	+
TBC1D24	38	1.88	0.0603	0.301	+
CBX2	87	1.88	0.0607	0.302	+
SP8	44	1.88	0.0607	0.302	+
ZBTB4	70	1.87	0.061	0.303	+
MPZL1	85	1.87	0.0612	0.303	+
HMOX1	57	1.87	0.0615	0.303	+
RHOC	59	1.87	0.0617	0.303	+
LRP6	42	1.86	0.0622	0.304	+
TDRD3	169	1.86	0.0623	0.304	+
KDM4B	117	1.86	0.0623	0.304	+
TNFRSF25	28	1.86	0.0624	0.304	+
PLXNA4	26	1.86	0.0629	0.306	+
NRAS	45	1.86	0.0634	0.306	+
TESC	290	1.86	0.0636	0.306	+
IKZF3	54	1.85	0.0637	0.306	+
MSH2	28	1.85	0.0637	0.306	+
HIST1H4I	29	1.85	0.0638	0.306	+
FRY	209	1.85	0.0638	0.306	+
GFI1	59	1.85	0.0639	0.306	+
ARID5A	252	1.85	0.064	0.306	+
RNF14	48	1.85	0.064	0.306	+
FSTL1	26	1.85	0.0644	0.307	+
ZNF880	42	1.84	0.0653	0.31	+
MDM4	142	1.84	0.0653	0.31	+
ATF1	86	1.84	0.0658	0.311	+
ASB16	59	1.84	0.0659	0.311	+
AURKA	44	1.84	0.0661	0.312	+
TAS2R31	27	1.84	0.0664	0.312	+
NDUFA13	208	1.84	0.0665	0.312	+
SUPT7L	49	1.83	0.0669	0.312	+
ZNF677	33	1.83	0.067	0.312	+
SGSM2	38	1.83	0.0672	0.312	+
GIGYF1	50	1.83	0.0674	0.312	+
MOV10	98	1.83	0.0676	0.312	+
PDIA3	53	1.83	0.0676	0.312	+
HOXB13	40	1.83	0.0677	0.312	+
NIF3L1	126	1.83	0.0677	0.312	+
GTF2F1	50	1.83	0.0678	0.312	+
LINGO1	33	1.82	0.0681	0.312	+
PECAM1	59	1.82	0.0682	0.312	+
RPL22	82	1.82	0.0684	0.312	+
PTPRU	43	1.82	0.0684	0.312	+
ZNF750	26	1.82	0.0686	0.312	+
ELP5	56	1.82	0.0687	0.312	+
FYN	26	1.82	0.0688	0.312	+
THOP1	47	1.82	0.0688	0.312	+
YWHAE	71	1.82	0.0691	0.313	+
ZNF76	83	1.82	0.0692	0.313	+
TDP2	37	1.81	0.0696	0.313	+
NCS1	37	1.81	0.0697	0.313	+
OR51G1	25	1.81	0.07	0.314	+
NOTCH4	144	1.81	0.0702	0.314	+
TP63	56	1.81	0.0702	0.314	+
ZNF486	31	1.81	0.0703	0.314	+
CRTC3	86	1.81	0.0704	0.314	+
PTRF	351	1.81	0.0707	0.314	+
DEK	113	1.81	0.0708	0.314	+
HAND2	45	1.81	0.071	0.315	+
NR4A1	42	1.8	0.0712	0.315	+
ZEB2	131	1.8	0.0713	0.316	+
SERTAD2	214	1.8	0.0716	0.316	+
FST	161	1.8	0.0717	0.317	+
P2RY1	65	1.8	0.0721	0.317	+
MAPK8IP3	49	1.8	0.0722	0.317	+
SUPT4H1	73	1.8	0.0722	0.317	+
FOXM1	210	1.8	0.0722	0.317	+
SLA2	25	1.8	0.0725	0.318	+
SIX3	43	1.8	0.0726	0.318	+
ZNF841	52	1.79	0.0728	0.318	+
MAML1	111	1.79	0.0731	0.318	+
HEXIM1	106	1.79	0.0732	0.319	+
PRDM6	240	1.79	0.0733	0.319	+
CALR	46	1.79	0.0735	0.319	+
LBH	154	1.79	0.0737	0.319	+
YOD1	34	1.79	0.0737	0.319	+
RAB1A	82	1.79	0.074	0.319	+
HIP1	43	1.78	0.0743	0.319	+
PSMC5	74	1.78	0.0745	0.32	+
RIPK1	25	1.78	0.0749	0.321	+
ZNF695	55	1.78	0.075	0.321	+
CERS6	37	1.78	0.0756	0.322	+
AKIRIN2	129	1.78	0.0759	0.322	+
CERKL	32	1.77	0.0761	0.322	+
LEUTX	38	1.77	0.0763	0.322	+
AURKB	77	1.77	0.0763	0.322	+
FOXD4L3	35	1.77	0.0766	0.323	+
EVX1	54	1.77	0.0766	0.323	+
ARHGEF18	44	1.77	0.0769	0.323	+
UBE2B	58	1.77	0.0769	0.323	+
ZDHHC19	30	1.77	0.0769	0.323	+
SPRED3	41	1.77	0.077	0.323	+
ZNRD1	45	1.77	0.0772	0.323	+
RANBP1	57	1.77	0.0775	0.323	+
ZNF544	49	1.76	0.0777	0.323	+
RASSF8	55	1.76	0.0779	0.323	+
UNC50	37	1.76	0.078	0.323	+
PITX1	47	1.76	0.0781	0.323	+
ZNF319	50	1.76	0.0781	0.323	+
SIX2	83	1.76	0.0782	0.323	+
SIRT7	202	1.76	0.0783	0.323	+
ABI1	45	1.76	0.0783	0.323	+
ASCC2	101	1.76	0.0783	0.323	+
CXCL14	126	1.76	0.0786	0.323	+
ETV5	66	1.76	0.0787	0.324	+
NR1H2	56	1.75	0.0793	0.325	+
PSRC1	111	1.75	0.0794	0.325	+
NLRP1	91	1.75	0.0796	0.325	+
PRMT1	61	1.75	0.0796	0.325	+
M6PR	36	1.75	0.0797	0.325	+
ZCCHC14	47	1.75	0.08	0.326	+
ZNF668	100	1.75	0.0803	0.327	+
ZNF700	39	1.75	0.0805	0.328	+
SF3B1	87	1.75	0.0807	0.328	+
RASL10B	29	1.75	0.0807	0.328	+
ZFP36L2	30	1.75	0.0808	0.328	+
STAT1	57	1.75	0.0809	0.328	+
ERCC3	83	1.74	0.0811	0.328	+
RASA2	54	1.74	0.0816	0.329	+
IGFBP2	40	1.74	0.0818	0.329	+
PFDN1	53	1.74	0.0819	0.329	+
CRYM	570	1.74	0.0821	0.329	+
ZFC3H1	60	1.74	0.0821	0.329	+
ASCC3	89	1.74	0.0821	0.329	+
RASAL1	44	1.74	0.0822	0.329	+
TFEC	199	1.74	0.0825	0.33	+
GGCT	49	1.73	0.0833	0.331	+
OTX1	58	1.73	0.0833	0.331	+
CBX4	167	1.73	0.0834	0.331	+
AIDA	56	1.73	0.0835	0.331	+
S100A11	55	1.73	0.0838	0.332	+
ZNF71	79	1.73	0.084	0.333	+
HSPB1	28	1.73	0.0843	0.333	+
ZDHHC7	57	1.72	0.0845	0.333	+
TBC1D10B	32	1.72	0.085	0.334	+
MYOCD	154	1.72	0.0853	0.335	+
SIRT2	132	1.72	0.0856	0.335	+
