Regulon	Size	NES	p.value	FDR	Sign
NMUR2	67	2.88	0.004	0.198	+
CLEC1A	40	2.88	0.00401	0.198	+
PTPRT	26	2.87	0.00409	0.198	+
CARF	90	2.87	0.00409	0.198	+
ERBB2	64	2.87	0.0041	0.198	+
HELZ	66	2.87	0.00411	0.198	+
PLCD3	32	2.87	0.00413	0.198	+
GRIK5	44	2.86	0.00418	0.198	+
CTNNA1	56	2.86	0.00421	0.198	+
E2F7	107	2.86	0.00428	0.198	+
OVOL1	95	2.85	0.00437	0.198	+
ZBED3	78	2.85	0.00442	0.198	+
TACR1	45	2.85	0.00442	0.198	+
CBX7	254	2.84	0.00454	0.198	+
PPP1R13L	222	2.83	0.00461	0.198	+
RADIL	68	2.82	0.00475	0.198	+
CRABP2	51	2.82	0.00477	0.198	+
MET	71	2.81	0.00489	0.198	+
ZIC5	59	2.81	0.0049	0.198	+
MAP3K9	59	2.81	0.00491	0.198	+
PTPRR	59	2.81	0.00492	0.198	+
ZBTB3	68	2.81	0.00493	0.198	+
PITX1	161	2.81	0.00494	0.198	+
INPP4B	53	2.81	0.00502	0.199	+
ITGA2	34	2.78	0.00544	0.209	+
ZNF418	49	2.77	0.00554	0.21	+
HMGB1	80	2.77	0.00556	0.21	+
FOXM1	129	2.77	0.00565	0.21	+
IDH1	121	2.76	0.00571	0.21	+
TEF	84	2.76	0.00582	0.211	+
ZNF765	32	2.75	0.00593	0.214	+
PTTG1	167	2.75	0.00601	0.214	+
IQGAP3	134	2.74	0.00607	0.214	+
CTCFL	60	2.74	0.00614	0.214	+
ERBB4	67	2.72	0.00645	0.216	+
MXD1	82	2.72	0.00647	0.216	+
HOXD10	81	2.72	0.0065	0.216	+
PHOX2A	86	2.72	0.00653	0.216	+
RGMB	36	2.72	0.00657	0.216	+
HOXA6	83	2.71	0.00676	0.22	+
RERGL	40	2.7	0.00696	0.223	+
HMGA2	110	2.7	0.00703	0.223	+
OR10P1	70	2.69	0.00719	0.223	+
HLF	150	2.68	0.00727	0.223	+
ABRA	39	2.68	0.00739	0.223	+
ZNF225	30	2.68	0.00741	0.223	+
MACC1	264	2.68	0.00745	0.223	+
ARHGAP27	80	2.67	0.00748	0.223	+
SALL2	193	2.67	0.00761	0.223	+
KREMEN1	59	2.66	0.00772	0.223	+
GPR135	88	2.66	0.00775	0.223	+
S100A6	78	2.65	0.008	0.223	+
RERG	59	2.65	0.00804	0.223	+
KCNH5	56	2.65	0.00811	0.223	+
TFCP2L1	85	2.65	0.00812	0.223	+
GRK3	31	2.64	0.00822	0.223	+
LRP1B	38	2.64	0.00831	0.223	+
PLAT	86	2.63	0.00844	0.223	+
NGFR	41	2.63	0.00848	0.223	+
HOXD11	69	2.63	0.00864	0.226	+
FLRT2	103	2.62	0.00878	0.227	+
CSDC2	338	2.61	0.00913	0.227	+
GPR35	138	2.6	0.00927	0.227	+
SMURF2	32	2.6	0.00934	0.227	+
ARNTL2	192	2.59	0.00949	0.227	+
OXER1	96	2.59	0.00951	0.227	+
MYBL2	96	2.59	0.00958	0.227	+
ZNF454	85	2.59	0.0096	0.227	+
HOXB6	99	2.59	0.0097	0.227	+
ZNF280B	133	2.58	0.00983	0.227	+
KLF5	187	2.58	0.00984	0.227	+
FZD6	78	2.58	0.00993	0.227	+
GRIA4	42	2.57	0.0102	0.229	+
KLF15	118	2.56	0.0105	0.233	+
MAPK3	123	2.56	0.0105	0.233	+
EDAR	69	2.56	0.0105	0.233	+
MAP3K2	85	2.55	0.0107	0.233	+
IKZF2	81	2.55	0.0108	0.233	+
HIST1H4I	49	2.54	0.011	0.233	+
GRB10	63	2.54	0.011	0.233	+
NLGN1	62	2.54	0.011	0.233	+
GPR179	70	2.54	0.0111	0.233	+
ACVRL1	48	2.54	0.0112	0.233	+
ZNF329	32	2.53	0.0113	0.233	+
SOCS7	40	2.53	0.0114	0.233	+
KL	63	2.53	0.0114	0.233	+
P2RY12	27	2.53	0.0115	0.233	+
CASR	72	2.53	0.0115	0.233	+
EIF2AK2	67	2.52	0.0117	0.234	+
P2RY2	88	2.52	0.0119	0.234	+
OR52R1	66	2.51	0.0119	0.234	+
TBL1XR1	127	2.51	0.0119	0.234	+
DOK4	46	2.51	0.0119	0.234	+
RAPGEFL1	37	2.51	0.012	0.234	+
ASCL1	82	2.51	0.012	0.234	+
PSMC3IP	86	2.5	0.0124	0.237	+
BARD1	56	2.5	0.0124	0.237	+
HELLS	129	2.5	0.0126	0.24	+
ST18	95	2.49	0.0127	0.24	+
TPM3	99	2.49	0.0128	0.241	+
ZNF727	38	2.49	0.0128	0.241	+
ERO1A	53	2.49	0.0129	0.241	+
FABP4	294	2.48	0.013	0.244	+
ELMO1	44	2.48	0.0133	0.245	+
E2F1	99	2.48	0.0133	0.245	+
CENPF	390	2.47	0.0134	0.246	+
GATAD2B	46	2.47	0.0135	0.246	+
SPAG5	52	2.47	0.0136	0.248	+
KLK6	83	2.46	0.014	0.253	+
OR8K3	51	2.45	0.0143	0.255	+
YWHAZ	86	2.45	0.0145	0.256	+
ADGRF3	37	2.44	0.0147	0.259	+
CNIH4	74	2.44	0.0149	0.259	+
HOXA11	37	2.43	0.0149	0.259	+
PSEN1	69	2.43	0.015	0.259	+
RAC1	51	2.43	0.0152	0.259	+
CNOT6	77	2.42	0.0155	0.261	+
NMI	77	2.42	0.0156	0.261	+
FOXD1	52	2.41	0.016	0.264	+
RAD50	68	2.41	0.0161	0.265	+
NDFIP2	53	2.41	0.0161	0.265	+
HPGD	83	2.4	0.0165	0.265	+
BRCA2	98	2.39	0.0166	0.265	+
MCM4	226	2.39	0.0169	0.267	+
SMOC1	64	2.39	0.0169	0.267	+
VDR	68	2.38	0.0174	0.27	+
CASP10	94	2.38	0.0174	0.27	+
ARL14	85	2.37	0.0176	0.27	+
RACGAP1	93	2.37	0.0177	0.27	+
RXFP4	42	2.37	0.0177	0.27	+
TRAK1	338	2.37	0.0179	0.27	+
GPR87	184	2.37	0.0179	0.27	+
PDE8B	91	2.37	0.018	0.27	+
PFDN1	56	2.37	0.018	0.27	+
IRX5	62	2.36	0.0181	0.27	+
SGSM1	62	2.36	0.0182	0.272	+
FEZF1	52	2.36	0.0184	0.273	+
ATF7	56	2.35	0.0186	0.275	+
P2RY1	59	2.35	0.0187	0.275	+
ZNF746	119	2.35	0.0189	0.277	+
ITGB4	78	2.35	0.019	0.277	+
TOP2A	253	2.34	0.0191	0.277	+
RABIF	83	2.34	0.0192	0.277	+
NR1I2	185	2.34	0.0192	0.277	+
OR2T34	60	2.34	0.0193	0.277	+
ALX4	59	2.34	0.0193	0.277	+
CECR2	57	2.34	0.0194	0.277	+
SP8	62	2.33	0.0196	0.277	+
RGS6	52	2.33	0.0197	0.277	+
PEG10	36	2.33	0.0197	0.277	+
POLR2K	84	2.33	0.0197	0.277	+
RFC4	78	2.33	0.0199	0.277	+
RGL1	45	2.33	0.0199	0.277	+
ADGRV1	73	2.33	0.0199	0.277	+
CFL1	69	2.33	0.02	0.277	+
AHR	100	2.33	0.02	0.277	+
RELN	46	2.32	0.0201	0.277	+
ITSN1	56	2.32	0.0202	0.277	+
RND3	112	2.32	0.0204	0.277	+
RAB25	129	2.32	0.0205	0.277	+
DMRTA2	36	2.32	0.0205	0.277	+
VCP	91	2.32	0.0205	0.277	+
ILF2	310	2.31	0.0207	0.277	+
PPP2R5C	62	2.31	0.0209	0.277	+
CASP2	50	2.31	0.0209	0.277	+
GPRC5A	32	2.31	0.0209	0.277	+
CDK8	94	2.31	0.021	0.277	+
IL20RB	150	2.3	0.0213	0.277	+
MARK1	59	2.3	0.0213	0.277	+
CDK2	82	2.3	0.0214	0.277	+
CCL16	48	2.3	0.0214	0.277	+
ENY2	156	2.3	0.0214	0.277	+
DBX2	47	2.3	0.0215	0.277	+
RAB10	75	2.3	0.0215	0.277	+
ENPP2	48	2.3	0.0217	0.277	+
PTPRH	45	2.29	0.0218	0.277	+
TUSC3	46	2.29	0.0218	0.277	+
ZNF831	115	2.29	0.0219	0.277	+
FEZ2	66	2.29	0.022	0.277	+
DPYSL5	38	2.29	0.0221	0.278	+
SIX4	121	2.29	0.0222	0.278	+
FLNB	39	2.29	0.0223	0.278	+
GRIN2A	38	2.28	0.0227	0.278	+
ZNF135	73	2.28	0.0227	0.278	+
OPRK1	44	2.28	0.0227	0.278	+
MCM2	298	2.28	0.0227	0.278	+
EGFR	64	2.28	0.0227	0.278	+
ASB14	74	2.28	0.0229	0.278	+
CLU	73	2.28	0.0229	0.278	+
CDK6	68	2.27	0.0232	0.278	+
HSPE1	136	2.27	0.0233	0.278	+
TBX6	82	2.26	0.0235	0.278	+
ERC1	39	2.26	0.0235	0.278	+
PDE3A	121	2.26	0.0235	0.278	+
DACH1	188	2.26	0.0236	0.278	+
AIFM2	61	2.26	0.0237	0.278	+
TRIP13	241	2.26	0.0239	0.278	+
MCM7	232	2.26	0.024	0.278	+
ERN2	705	2.26	0.024	0.278	+
ESRRG	138	2.26	0.024	0.278	+
LEO1	142	2.26	0.0241	0.278	+
CNOT4	105	2.25	0.0242	0.278	+
ZNF592	27	2.25	0.0242	0.278	+
LRRFIP1	287	2.25	0.0244	0.281	+
FFAR1	32	2.25	0.0246	0.281	+
RAPGEF4	39	2.25	0.0247	0.281	+
SOS2	49	2.24	0.0249	0.281	+
PI4KA	49	2.24	0.025	0.281	+
EYA2	217	2.24	0.025	0.281	+
ZNF780A	26	2.24	0.0254	0.283	+
HOXD1	78	2.23	0.0256	0.283	+
CHRNA6	41	2.23	0.0256	0.283	+
SIX3	63	2.23	0.0256	0.283	+
TIMELESS	129	2.23	0.0256	0.283	+
TBC1D3H	40	2.23	0.0256	0.283	+
GABRA1	40	2.23	0.0259	0.284	+
FOSL1	87	2.22	0.0262	0.284	+
TXNIP	60	2.22	0.0263	0.284	+
DNAJC27	68	2.22	0.0263	0.284	+
CDKL2	72	2.22	0.0265	0.284	+
BAZ1A	109	2.22	0.0265	0.284	+
ID1	96	2.22	0.0266	0.284	+
PRMT5	166	2.22	0.0266	0.284	+
ZNF704	115	2.22	0.0266	0.284	+
POU5F1B	82	2.22	0.0267	0.284	+
HIST1H2BK	38	2.21	0.0268	0.285	+
HOXC11	56	2.21	0.0269	0.285	+
BMP4	55	2.21	0.0272	0.287	+
SSBP2	106	2.21	0.0273	0.288	+
GNAO1	39	2.2	0.0275	0.288	+
PPFIA1	67	2.2	0.0275	0.288	+
DGKB	26	2.2	0.0275	0.288	+
IRAK3	81	2.2	0.0277	0.288	+
BCL10	60	2.2	0.028	0.289	+
ZDHHC23	128	2.2	0.0281	0.29	+
MAFF	55	2.19	0.0285	0.293	+
RAB37	30	2.19	0.0287	0.293	+
FMN2	54	2.19	0.0288	0.293	+
AGT	81	2.18	0.029	0.294	+
CLDN4	88	2.18	0.0295	0.296	+
ITGB6	68	2.17	0.03	0.299	+
FHL2	102	2.17	0.03	0.299	+
LBP	31	2.17	0.0302	0.299	+
ADIPOQ	43	2.17	0.0302	0.299	+
ZFYVE21	85	2.17	0.0303	0.299	+
PILRB	86	2.16	0.0305	0.301	+
GATA2	94	2.16	0.0306	0.301	+
PMEPA1	86	2.16	0.0307	0.302	+
EBF1	77	2.16	0.0309	0.302	+
CBFA2T2	117	2.16	0.031	0.302	+
HELZ2	176	2.15	0.0313	0.303	+
PAK4	54	2.15	0.0315	0.303	+
SKAP2	93	2.15	0.0318	0.305	+
NPAS4	128	2.14	0.032	0.306	+
SMARCD1	218	2.14	0.0322	0.307	+
ECEL1	31	2.14	0.0323	0.307	+
SGF29	124	2.14	0.0324	0.307	+
PLXNA2	73	2.14	0.0327	0.308	+
ZDHHC22	56	2.13	0.0331	0.311	+
HOXA9	88	2.13	0.0334	0.311	+
CALM2	60	2.13	0.0334	0.311	+
CDC42EP5	58	2.13	0.0335	0.311	+
F2RL1	81	2.13	0.0335	0.311	+
GNGT1	37	2.12	0.0339	0.313	+
ARHGAP21	108	2.12	0.034	0.313	+
HDAC4	164	2.12	0.034	0.313	+
HSBP1	142	2.12	0.0342	0.314	+
PAX8	83	2.11	0.0345	0.317	+
SOX17	118	2.11	0.0345	0.317	+
ZNF366	121	2.11	0.0351	0.32	+
SOX10	81	2.1	0.0356	0.321	+
RUVBL1	221	2.1	0.0359	0.323	+
GNAS	54	2.1	0.0361	0.324	+
IRX6	126	2.1	0.0361	0.324	+
GHR	32	2.09	0.0364	0.325	+
TBC1D10A	59	2.09	0.0365	0.325	+
TRIP6	76	2.09	0.0365	0.325	+
SMAP1	79	2.09	0.0366	0.325	+
BAG4	69	2.09	0.0367	0.326	+
GNAZ	75	2.09	0.0367	0.326	+
RTN1	65	2.09	0.037	0.327	+
FEV	92	2.09	0.0371	0.327	+
TRIM54	77	2.08	0.0375	0.328	+
TAC1	35	2.08	0.0378	0.329	+
WWTR1	280	2.08	0.0379	0.329	+
ZNF804B	70	2.07	0.0381	0.329	+
ZNF8	55	2.07	0.0383	0.329	+
KRT17	57	2.07	0.0385	0.329	+
RAB3C	31	2.07	0.0385	0.329	+
CTNND2	89	2.07	0.0386	0.329	+
CNTNAP4	27	2.07	0.0387	0.329	+
GPR22	50	2.07	0.0388	0.329	+
SRC	82	2.06	0.039	0.329	+
DOCK1	52	2.06	0.0391	0.329	+
TP53BP2	50	2.06	0.0392	0.329	+
CABP4	56	2.06	0.0392	0.329	+
PAX4	39	2.06	0.0393	0.329	+
KDM3B	148	2.06	0.0393	0.329	+
OR1Q1	56	2.06	0.0394	0.329	+
TLE4	63	2.06	0.0395	0.33	+
ZHX1	96	2.06	0.0398	0.33	+
EPC1	90	2.06	0.0399	0.33	+
CDS1	45	2.05	0.0399	0.33	+
HIP1	64	2.05	0.0399	0.33	+
CAMK2B	41	2.05	0.0399	0.33	+
RBM38	65	2.05	0.04	0.33	+
HOXD12	47	2.05	0.0403	0.331	+
ZNF354A	59	2.05	0.0407	0.332	+
HOXC4	53	2.05	0.0408	0.332	+
TFEB	94	2.04	0.0409	0.332	+
SLC22A17	88	2.04	0.041	0.332	+
OR6F1	43	2.04	0.0411	0.332	+
HOXB5	99	2.04	0.0412	0.332	+
DTX3	88	2.04	0.0413	0.332	+
MLLT6	255	2.04	0.0415	0.332	+
ACTB	43	2.04	0.0415	0.332	+
LALBA	42	2.04	0.0416	0.332	+
SOX5	58	2.04	0.0417	0.332	+
TRERF1	73	2.04	0.0417	0.332	+
GLMP	153	2.03	0.0419	0.332	+
ZNF793	28	2.03	0.042	0.332	+
NTRK1	49	2.03	0.042	0.332	+
TIMM50	50	2.03	0.0424	0.334	+
HIST2H4A	33	2.03	0.0424	0.334	+
GNG11	54	2.03	0.0427	0.335	+
PPP1R1C	64	2.02	0.0431	0.335	+
RUNDC3A	66	2.02	0.0432	0.335	+
CGB8	54	2.02	0.0433	0.335	+
AJUBA	205	2.02	0.0433	0.335	+
HOXC10	42	2.02	0.0435	0.336	+
GABRP	76	2.02	0.0436	0.336	+
GNG3	45	2.02	0.0437	0.336	+
RHOJ	53	2.02	0.0437	0.336	+
FEN1	84	2.02	0.0438	0.336	+
PECAM1	41	2.02	0.0438	0.336	+
PCBD1	266	2.02	0.0439	0.336	+
RALB	86	2.01	0.044	0.336	+
NEUROD1	100	2.01	0.0441	0.337	+
NFE2L3	137	2.01	0.0443	0.337	+
PURA	69	2.01	0.0444	0.337	+
RIIAD1	44	2.01	0.0445	0.337	+
GPR141	29	2.01	0.0447	0.338	+
POFUT1	45	2.01	0.045	0.339	+
ZC3H12C	62	2	0.045	0.339	+
DNASE1L3	28	2	0.0451	0.339	+
IL4R	73	2	0.0453	0.339	+
KLF10	71	2	0.0454	0.339	+
FGF19	60	2	0.0454	0.339	+
YWHAH	82	2	0.0456	0.339	+
GRHL1	110	2	0.0459	0.339	+
RGS11	79	2	0.0459	0.339	+
ETV3	113	1.99	0.0461	0.339	+
CGB3	48	1.99	0.0461	0.339	+
CKS1B	371	1.99	0.0462	0.339	+
DCBLD2	64	1.99	0.0462	0.339	+
ITLN1	83	1.99	0.0466	0.34	+
RIPK2	65	1.99	0.0466	0.34	+
SUDS3	182	1.99	0.047	0.342	+
GPRC5D	35	1.98	0.0472	0.342	+
BAIAP2L1	111	1.98	0.0472	0.342	+
GAB1	47	1.98	0.0472	0.342	+
CDC42BPA	73	1.98	0.0474	0.342	+
ITGA7	74	1.98	0.0475	0.342	+
NKIRAS2	33	1.98	0.0478	0.343	+
CANT1	74	1.97	0.0489	0.347	+
HINT1	147	1.97	0.049	0.347	+
SLIRP	158	1.97	0.049	0.347	+
MED6	134	1.97	0.0491	0.347	+
ARHGAP12	77	1.97	0.0492	0.347	+
ZMAT2	77	1.97	0.0493	0.347	+
UBE2L3	57	1.97	0.0494	0.347	+
S100A10	93	1.96	0.0496	0.347	+
BCL11A	136	1.96	0.0498	0.347	+
AXIN2	60	1.96	0.0498	0.347	+
NSMCE1	90	1.96	0.0499	0.347	+
RC3H1	65	1.96	0.0502	0.348	+
NRXN1	42	1.96	0.0503	0.348	+
TSPAN8	90	1.96	0.0504	0.348	+
IL5	96	1.96	0.0505	0.348	+
RAPGEF3	53	1.95	0.051	0.35	+
HES1	128	1.95	0.051	0.35	+
ACTL6B	409	1.95	0.0511	0.35	+
CALCOCO1	74	1.95	0.0511	0.35	+
DZIP3	68	1.95	0.0513	0.35	+
MLNR	39	1.95	0.0516	0.351	+
SMARCD3	307	1.95	0.0517	0.351	+
ACVR1B	76	1.94	0.0519	0.351	+
CBX3	189	1.94	0.052	0.351	+
IL6R	34	1.94	0.0522	0.352	+
CIT	55	1.94	0.0525	0.353	+
GPBAR1	45	1.94	0.0526	0.353	+
BZW1	391	1.94	0.0528	0.353	+
ZBED2	167	1.94	0.0528	0.353	+
SIX6	83	1.93	0.0531	0.353	+
TSC22D2	75	1.93	0.0532	0.353	+
CBX6	289	1.93	0.0533	0.353	+
NEUROG1	77	1.93	0.0536	0.353	+
PREX1	33	1.93	0.0536	0.353	+
BRIP1	52	1.93	0.0537	0.353	+
NPSR1	93	1.93	0.0537	0.353	+
NRIP2	241	1.93	0.0537	0.353	+
CD34	28	1.93	0.0538	0.353	+
CHRNB2	40	1.93	0.0539	0.353	+
PHB	145	1.93	0.0539	0.353	+
ZNF503	53	1.93	0.0539	0.353	+
CSRNP3	86	1.93	0.0541	0.353	+
ZNF132	36	1.93	0.0542	0.353	+
NSD1	88	1.92	0.0543	0.353	+
CACNA1I	26	1.92	0.0543	0.353	+
ETV6	106	1.92	0.0544	0.353	+
SCRT1	31	1.92	0.0546	0.353	+
RASGEF1C	36	1.92	0.0548	0.353	+
CDCA7	302	1.92	0.0549	0.353	+
OR10J3	53	1.92	0.0549	0.353	+
MEOX1	137	1.92	0.0549	0.353	+
MPP2	31	1.92	0.055	0.353	+
MS4A3	41	1.92	0.055	0.353	+
CSNK1A1L	62	1.92	0.0551	0.353	+
RCBTB1	123	1.92	0.0555	0.354	+
CNOT1	98	1.91	0.0555	0.354	+
GPR156	47	1.91	0.0556	0.354	+
TFB2M	253	1.91	0.0556	0.354	+
ITGA6	66	1.91	0.0557	0.354	+
SMAD6	46	1.91	0.0557	0.354	+
RND2	70	1.91	0.0559	0.354	+
NTSR2	63	1.91	0.0559	0.354	+
ZNF789	214	1.91	0.056	0.354	+
PRKCD	50	1.91	0.056	0.354	+
CDK4	79	1.91	0.0561	0.354	+
POU2F3	116	1.91	0.0562	0.354	+
ASIC2	25	1.91	0.0563	0.354	+
MECOM	165	1.91	0.0565	0.355	+
PPT1	67	1.91	0.0567	0.355	+
XPR1	63	1.9	0.0569	0.356	+
HOXB1	76	1.9	0.0571	0.357	+
L3MBTL1	133	1.9	0.0575	0.358	+
ZNF821	122	1.9	0.0575	0.358	+
PPM1L	51	1.9	0.0576	0.358	+
NFATC2	62	1.9	0.0577	0.358	+
PTPRN2	63	1.9	0.0577	0.358	+
CAPN5	86	1.9	0.058	0.359	+
SIRT7	211	1.89	0.0582	0.359	+
PBX1	105	1.89	0.0582	0.359	+
AP3S1	62	1.89	0.0585	0.36	+
TRH	56	1.89	0.059	0.361	+
PLCB3	85	1.89	0.0591	0.361	+
IL6ST	108	1.89	0.0591	0.361	+
TCEB1	220	1.89	0.0591	0.361	+
IL31RA	52	1.89	0.0592	0.361	+
CBFB	100	1.88	0.0595	0.362	+
IGF1	447	1.88	0.0595	0.362	+
TIPARP	55	1.88	0.0597	0.362	+
CREB5	122	1.88	0.0598	0.362	+
CCL24	58	1.88	0.0598	0.362	+
ACOT11	35	1.88	0.0602	0.363	+
TRAF1	26	1.88	0.0603	0.363	+
CALCRL	58	1.88	0.0605	0.363	+
PRKDC	81	1.88	0.0605	0.363	+
AKT1	27	1.88	0.0606	0.363	+
SIX1	81	1.88	0.0607	0.363	+
HNF4A	203	1.87	0.0609	0.363	+
SIRT4	188	1.87	0.0612	0.363	+
PRKCI	131	1.87	0.0613	0.363	+
PA2G4	143	1.87	0.0615	0.363	+
RAMP3	50	1.87	0.0617	0.363	+
MLXIPL	110	1.87	0.0617	0.363	+
MAPRE3	133	1.87	0.0619	0.363	+
SIX2	93	1.87	0.062	0.363	+
LPAR5	64	1.87	0.0621	0.363	+
NOS2	52	1.87	0.0621	0.363	+
DPF3	252	1.87	0.0621	0.363	+
GCGR	40	1.86	0.0622	0.363	+
PRKCE	50	1.86	0.0623	0.363	+
SNAPC1	210	1.86	0.0624	0.363	+
MAFA	37	1.86	0.0627	0.364	+
ITPKA	29	1.86	0.0627	0.364	+
HMP19	31	1.86	0.0629	0.365	+
GFRA3	40	1.86	0.0631	0.365	+
SMAD5-AS1	37	1.86	0.0632	0.365	+
STK39	56	1.86	0.0634	0.365	+
HDGF	151	1.86	0.0635	0.365	+
NPY4R	69	1.85	0.0636	0.365	+
PTGES3	51	1.85	0.0637	0.365	+
CDC42BPB	34	1.85	0.0638	0.366	+
TMED7-TICAM2	81	1.85	0.0642	0.367	+
ADCY6	88	1.85	0.0642	0.367	+
ADCY1	30	1.85	0.0643	0.367	+
MAGI1	93	1.85	0.0649	0.369	+
IL1A	87	1.84	0.0651	0.369	+
GPR182	36	1.84	0.0653	0.369	+
FGF20	62	1.84	0.0655	0.369	+
CNGB3	53	1.84	0.0658	0.37	+
RHOBTB2	59	1.84	0.0658	0.37	+
FOXA3	166	1.84	0.0661	0.371	+
TRIP11	156	1.84	0.0662	0.371	+
TAF5	53	1.84	0.0665	0.372	+
GATAD1	158	1.83	0.0665	0.372	+
SLC4A11	41	1.83	0.0667	0.372	+
STXBP4	71	1.83	0.0667	0.372	+
INPP1	69	1.83	0.0668	0.372	+
PHF5A	72	1.83	0.067	0.373	+
CHRNB1	64	1.83	0.067	0.373	+
MAP3K13	57	1.83	0.0671	0.373	+
TBC1D4	41	1.83	0.0675	0.374	+
KIF13B	41	1.82	0.0681	0.376	+
ECM1	47	1.82	0.0683	0.376	+
REM2	94	1.82	0.0684	0.376	+
DERL1	111	1.82	0.0685	0.376	+
RHOA	69	1.82	0.0686	0.376	+
NME1-NME2	87	1.82	0.0686	0.376	+
LILRB5	31	1.82	0.0687	0.376	+
SCG2	45	1.82	0.0687	0.376	+
MAP2K6	51	1.82	0.0688	0.376	+
PDPK1	67	1.82	0.0689	0.376	+
ZNF107	56	1.82	0.0689	0.376	+
ZNF181	149	1.81	0.0697	0.378	+
ANK1	31	1.81	0.0697	0.378	+
FGF6	43	1.81	0.0697	0.378	+
ARFGEF2	64	1.81	0.07	0.379	+
SEMA6A	50	1.81	0.0706	0.382	+
NANOG	103	1.81	0.0707	0.382	+
GPR162	60	1.81	0.0708	0.382	+
ARHGAP23	86	1.81	0.0708	0.382	+
ZNF677	41	1.8	0.0711	0.383	+
KCNH6	38	1.8	0.0713	0.384	+
MSH2	74	1.8	0.0714	0.384	+
TCFL5	133	1.8	0.0716	0.384	+
NKD1	32	1.8	0.0724	0.386	+
APPL1	99	1.79	0.0737	0.388	+
MOAP1	78	1.79	0.0738	0.388	+
MTDH	86	1.79	0.0739	0.388	+
ATR	44	1.79	0.0739	0.388	+
TP63	82	1.79	0.0739	0.388	+
IRX1	53	1.79	0.0743	0.388	+
ZNF853	142	1.78	0.0743	0.388	+
GULP1	44	1.78	0.0743	0.388	+
ICOSLG	32	1.78	0.0745	0.388	+
OR8J1	42	1.78	0.0751	0.39	+
SLC35B2	36	1.78	0.0753	0.39	+
ZNF551	30	1.78	0.0754	0.39	+
KCNIP1	30	1.78	0.0755	0.39	+
GIGYF1	80	1.78	0.0755	0.39	+
MED19	69	1.78	0.0757	0.39	+
GHSR	40	1.78	0.0759	0.39	+
RAB36	67	1.77	0.0762	0.39	+
ZNF589	100	1.77	0.0763	0.39	+
MYT1	70	1.77	0.0764	0.39	+
BRSK1	67	1.77	0.0765	0.39	+
WASF2	155	1.77	0.0766	0.39	+
ZNF862	125	1.77	0.0768	0.391	+
DUSP19	68	1.77	0.077	0.391	+
OR1L1	38	1.77	0.077	0.391	+
PHF12	309	1.77	0.0771	0.391	+
ARL4A	45	1.77	0.0772	0.391	+
NUP93	88	1.77	0.0775	0.392	+
ZNF300	84	1.76	0.0778	0.392	+
PEG3	171	1.76	0.0778	0.392	+
GRM2	34	1.76	0.078	0.392	+
TNIK	85	1.76	0.0784	0.394	+
