Regulon	Size	NES	p.value	FDR	Sign
CTSH	29	2.94	0.00324	0.096	+
ERCC3	115	2.94	0.00324	0.096	+
MTA2	69	2.93	0.00334	0.0968	+
MCM5	61	2.93	0.00334	0.0968	+
PBX3	103	2.92	0.0035	0.0987	+
CDK4	56	2.92	0.00351	0.0987	+
HOXD13	32	2.9	0.0037	0.102	+
IGF1	152	2.9	0.00374	0.102	+
RANGAP1	75	2.9	0.00375	0.102	+
HNF1B	153	2.9	0.00375	0.102	+
PAK1IP1	74	2.88	0.00396	0.102	+
LBH	123	2.88	0.00397	0.102	+
ARL4D	49	2.88	0.00398	0.102	+
SP5	66	2.88	0.00398	0.102	+
PRKAR1A	44	2.88	0.00402	0.102	+
NKRF	85	2.88	0.00403	0.102	+
ZNF334	48	2.87	0.00405	0.102	+
TTK	38	2.87	0.00411	0.103	+
DVL3	89	2.87	0.00415	0.103	+
EN2	52	2.86	0.00419	0.103	+
MS4A15	30	2.86	0.0042	0.103	+
RASAL1	33	2.86	0.00426	0.104	+
CCNE1	48	2.86	0.00426	0.104	+
PDE1B	26	2.85	0.00439	0.104	+
KRT17	83	2.85	0.0044	0.104	+
MCM4	199	2.85	0.00443	0.104	+
ARF1	80	2.85	0.00443	0.104	+
BRCA1	46	2.84	0.00445	0.104	+
ZNF706	98	2.84	0.00445	0.104	+
RAN	259	2.84	0.00457	0.104	+
PRMT5	74	2.84	0.00457	0.104	+
PC	42	2.82	0.00474	0.105	+
HOXB13	47	2.82	0.00475	0.105	+
L3MBTL1	145	2.82	0.00478	0.105	+
ETV1	62	2.82	0.00479	0.105	+
PSMC5	159	2.82	0.0048	0.105	+
PDK1	37	2.82	0.00481	0.105	+
MYC	86	2.82	0.00486	0.105	+
GABRA3	31	2.82	0.00487	0.105	+
SH3BP1	61	2.81	0.00493	0.105	+
NRIP2	247	2.81	0.00498	0.105	+
ZC3H6	60	2.8	0.00505	0.107	+
MEN1	46	2.79	0.00526	0.11	+
PPT1	78	2.79	0.00529	0.11	+
MSH6	62	2.78	0.00544	0.113	+
DISP1	26	2.77	0.00569	0.117	+
ILF2	312	2.75	0.00595	0.121	+
ZNF75D	112	2.75	0.00596	0.121	+
NFE2	78	2.74	0.00623	0.126	+
TFAP2C	83	2.73	0.00629	0.126	+
CYCS	104	2.73	0.0063	0.126	+
TBX4	46	2.73	0.00632	0.126	+
RARG	52	2.73	0.00633	0.126	+
TRAF7	41	2.73	0.00639	0.127	+
PECAM1	37	2.71	0.00667	0.13	+
MCM6	181	2.71	0.00673	0.13	+
AGO2	93	2.71	0.00681	0.131	+
WDR12	77	2.7	0.00702	0.133	+
PRKDC	131	2.69	0.00706	0.133	+
SPN	33	2.69	0.00723	0.136	+
PA2G4	138	2.67	0.0075	0.138	+
KHDRBS2	188	2.67	0.00751	0.138	+
YWHAG	40	2.67	0.00763	0.139	+
DMRTC1B	110	2.67	0.00764	0.139	+
FANCE	26	2.67	0.00766	0.139	+
SOX17	94	2.65	0.00803	0.144	+
NFIX	195	2.65	0.00804	0.144	+
PTHLH	98	2.65	0.00806	0.144	+
HOMER3	53	2.64	0.00818	0.146	+
ZNF705A	37	2.64	0.00836	0.147	+
SLC35B2	38	2.64	0.00836	0.147	+
GMNN	392	2.63	0.00862	0.151	+
LRRK2	61	2.63	0.00864	0.151	+
RAC3	33	2.62	0.0087	0.151	+
MSH2	126	2.62	0.00871	0.151	+
PREB	133	2.61	0.00894	0.154	+
ZNF880	199	2.61	0.00908	0.156	+
GTF2IRD2	60	2.61	0.00913	0.156	+
DUSP9	39	2.6	0.00919	0.157	+
TSC22D3	41	2.6	0.00925	0.157	+
ECT2	69	2.6	0.00937	0.159	+
TGM2	28	2.59	0.00948	0.159	+
TRPV4	48	2.59	0.00969	0.162	+
ZNF622	78	2.59	0.0097	0.162	+
IKZF4	215	2.58	0.00984	0.164	+
SPTBN1	63	2.58	0.00997	0.165	+
PKP1	134	2.57	0.01	0.165	+
WSB2	61	2.57	0.0101	0.165	+
CHEK2	65	2.57	0.0102	0.165	+
PLEKHB1	46	2.57	0.0102	0.165	+
ITGB4	106	2.57	0.0102	0.165	+
ZEB2	266	2.54	0.0111	0.174	+
BAZ1A	37	2.53	0.0113	0.176	+
MUSK	32	2.53	0.0113	0.176	+
HCFC2	120	2.53	0.0113	0.176	+
FGF19	46	2.53	0.0114	0.176	+
EZH2	54	2.52	0.0116	0.177	+
POLD1	44	2.52	0.0116	0.177	+
HOXB7	43	2.52	0.0116	0.177	+
PAX8	57	2.52	0.0116	0.177	+
TCEB1	263	2.5	0.0124	0.185	+
TERF1	158	2.5	0.0124	0.185	+
XPR1	26	2.5	0.0124	0.185	+
RIPK2	32	2.5	0.0125	0.185	+
YWHAZ	77	2.5	0.0126	0.185	+
RANBP1	63	2.49	0.0127	0.185	+
GPRC5A	60	2.49	0.0127	0.185	+
PRDX4	89	2.49	0.0127	0.185	+
ZRANB3	89	2.49	0.0128	0.185	+
PEG10	36	2.49	0.0128	0.185	+
PLA2G1B	65	2.48	0.013	0.185	+
RAPGEF5	44	2.48	0.013	0.185	+
EPAS1	129	2.48	0.013	0.185	+
TGS1	39	2.48	0.0132	0.186	+
CD274	60	2.47	0.0134	0.19	+
TCF19	55	2.47	0.0135	0.19	+
DUSP6	34	2.47	0.0136	0.19	+
BUD31	119	2.47	0.0137	0.19	+
UBR5	75	2.45	0.0141	0.194	+
FZD6	38	2.45	0.0143	0.195	+
CDC5L	48	2.44	0.0147	0.197	+
JAG1	36	2.44	0.0148	0.197	+
NPAS2	82	2.44	0.0149	0.197	+
DCDC2	63	2.43	0.0149	0.197	+
ATP2C1	50	2.43	0.0149	0.197	+
MARK2	65	2.43	0.015	0.197	+
PRKCE	26	2.43	0.0151	0.197	+
ROPN1B	60	2.43	0.0152	0.197	+
POLE	112	2.43	0.0152	0.197	+
CDYL	114	2.42	0.0153	0.198	+
THRA	55	2.42	0.0154	0.198	+
RASGRP4	35	2.42	0.0155	0.198	+
SCTR	93	2.42	0.0155	0.198	+
LTBR	51	2.42	0.0155	0.198	+
PIK3R2	46	2.42	0.0156	0.199	+
CCND3	32	2.42	0.0156	0.199	+
CDCA7	121	2.41	0.0157	0.199	+
LPIN2	309	2.41	0.0158	0.2	+
HIST1H2AM	27	2.41	0.016	0.2	+
MCM7	162	2.4	0.0162	0.202	+
YEATS4	214	2.4	0.0163	0.202	+
ADGRF4	107	2.4	0.0164	0.203	+
ENY2	154	2.4	0.0165	0.204	+
AEN	73	2.4	0.0166	0.204	+
HOXC10	40	2.39	0.0167	0.204	+
EYA2	198	2.39	0.0167	0.204	+
PLXNB3	28	2.39	0.0168	0.204	+
FH	38	2.39	0.0168	0.204	+
ATXN7L3	165	2.39	0.017	0.205	+
IRX2	67	2.38	0.0171	0.206	+
XRN2	137	2.38	0.0175	0.209	+
NLE1	44	2.37	0.0177	0.21	+
ARHGEF33	54	2.37	0.0178	0.21	+
HSPB1	51	2.36	0.0181	0.211	+
ASXL3	282	2.36	0.0182	0.212	+
HSPE1	72	2.36	0.0185	0.214	+
HABP4	248	2.35	0.0186	0.214	+
KHDRBS3	60	2.35	0.0187	0.214	+
NME2	447	2.35	0.0187	0.214	+
FGFR1	30	2.35	0.019	0.216	+
KIF5B	35	2.34	0.0192	0.217	+
MBIP	49	2.34	0.0193	0.218	+
EIF2AK2	62	2.34	0.0193	0.218	+
SIAH2	101	2.33	0.0197	0.22	+
LRP12	47	2.33	0.0198	0.22	+
NKD2	59	2.33	0.0199	0.221	+
RAP2B	47	2.32	0.0203	0.224	+
UBE2L3	104	2.32	0.0204	0.224	+
DAP3	51	2.32	0.0204	0.224	+
NME1-NME2	48	2.31	0.0208	0.227	+
STX2	42	2.31	0.021	0.228	+
UNC119	39	2.31	0.021	0.228	+
PHB2	116	2.3	0.0215	0.23	+
DUOX1	125	2.3	0.0216	0.231	+
RAB1A	46	2.3	0.0217	0.231	+
SDHC	120	2.29	0.0219	0.231	+
MEOX2	47	2.29	0.022	0.232	+
ZBED2	99	2.29	0.0222	0.233	+
PHB	176	2.28	0.0225	0.234	+
GRHL2	188	2.28	0.0226	0.235	+
EPHB3	70	2.28	0.0228	0.237	+
PLP2	48	2.28	0.0229	0.237	+
E2F5	148	2.27	0.0231	0.238	+
CAV1	61	2.27	0.0232	0.238	+
NLRC4	33	2.27	0.0233	0.238	+
IL1R1	33	2.26	0.0235	0.238	+
CALCOCO1	72	2.26	0.0238	0.239	+
ITGB8	46	2.26	0.0238	0.239	+
HLX	33	2.25	0.0243	0.243	+
EPHA1	58	2.25	0.0245	0.243	+
BZW1	159	2.24	0.0249	0.245	+
PILRB	170	2.24	0.0251	0.246	+
CIAO1	61	2.24	0.0252	0.246	+
RAPH1	32	2.24	0.0252	0.246	+
MARK1	56	2.24	0.0252	0.246	+
NR1I3	76	2.24	0.0253	0.247	+
AHCTF1	142	2.24	0.0254	0.247	+
RABIF	59	2.23	0.0256	0.247	+
DGKA	62	2.23	0.0257	0.247	+
ABT1	43	2.23	0.0258	0.248	+
PTRF	239	2.23	0.0258	0.248	+
MXD1	130	2.22	0.0265	0.251	+
ARHGEF6	47	2.22	0.0265	0.251	+
ZDHHC5	66	2.22	0.0265	0.251	+
TGFA	44	2.22	0.0266	0.251	+
WISP1	27	2.22	0.0266	0.251	+
PHF5A	302	2.22	0.0267	0.251	+
MNDA	609	2.21	0.027	0.253	+
ENG	55	2.2	0.0275	0.256	+
MLF1	51	2.2	0.0275	0.256	+
TSHZ2	64	2.2	0.0275	0.256	+
ADGRG1	37	2.2	0.0276	0.256	+
TAC1	53	2.2	0.0276	0.256	+
CEBPG	46	2.2	0.0278	0.256	+
CYTH1	57	2.2	0.0279	0.257	+
HMGA2	65	2.19	0.0285	0.26	+
CAV2	89	2.19	0.0286	0.26	+
MCM2	276	2.19	0.0287	0.26	+
TMPO	132	2.19	0.0287	0.26	+
XPO1	54	2.19	0.0289	0.261	+
TULP3	66	2.18	0.029	0.261	+
BTK	54	2.18	0.029	0.261	+
PTPRZ1	88	2.18	0.0294	0.262	+
TSPAN12	49	2.17	0.0297	0.263	+
TAF4	62	2.17	0.0297	0.263	+
RCAN2	50	2.17	0.0302	0.266	+
SHH	33	2.16	0.0306	0.268	+
MYNN	164	2.16	0.0307	0.269	+
ESF1	275	2.16	0.0307	0.269	+
RBM14	49	2.16	0.0309	0.27	+
LPAR5	52	2.15	0.0314	0.272	+
NR1I2	105	2.15	0.0317	0.274	+
GLRX2	110	2.15	0.0318	0.274	+
MORC2	242	2.15	0.0319	0.274	+
GTF2H3	155	2.15	0.0319	0.274	+
AATF	84	2.14	0.0321	0.274	+
FLRT3	32	2.14	0.0323	0.275	+
NOSTRIN	38	2.14	0.0324	0.276	+
HIST1H4C	35	2.13	0.0329	0.278	+
ZNF707	90	2.13	0.033	0.278	+
POLR3K	119	2.13	0.0334	0.281	+
CDK5R1	56	2.13	0.0335	0.282	+
S100A11	55	2.12	0.0337	0.282	+
BAIAP2L1	42	2.12	0.0337	0.282	+
SERTAD2	200	2.12	0.0338	0.282	+
ZNF331	48	2.12	0.034	0.282	+
EEF1E1	37	2.12	0.034	0.282	+
TCEAL7	231	2.12	0.034	0.282	+
EYA1	221	2.12	0.0341	0.282	+
FOXA2	47	2.12	0.0342	0.282	+
NUP62	53	2.12	0.0342	0.282	+
ERO1A	72	2.12	0.0343	0.282	+
STRN	102	2.12	0.0344	0.282	+
SMC1A	85	2.11	0.0348	0.283	+
EGR4	55	2.11	0.0349	0.283	+
RPN1	79	2.1	0.0356	0.288	+
TBX5	58	2.1	0.0361	0.291	+
FZD9	27	2.09	0.0369	0.295	+
IL1RL2	32	2.09	0.0369	0.295	+
HOXB9	34	2.09	0.037	0.295	+
ZNF286A	74	2.09	0.037	0.295	+
SUPT4H1	153	2.08	0.0374	0.297	+
ZNF385A	63	2.08	0.0375	0.297	+
GPR161	53	2.07	0.0381	0.301	+
LAT2	27	2.07	0.0383	0.301	+
RRAS	79	2.07	0.0385	0.302	+
CREBL2	89	2.07	0.0385	0.302	+
GPR162	39	2.06	0.039	0.304	+
FMN2	38	2.06	0.0391	0.304	+
COPRS	152	2.06	0.0394	0.305	+
ZNF679	141	2.05	0.0399	0.308	+
RTN2	26	2.05	0.0401	0.309	+
SNAI1	66	2.05	0.0403	0.309	+
WNT3A	204	2.05	0.0404	0.309	+
PCGF1	273	2.05	0.0405	0.31	+
GPR39	65	2.05	0.0405	0.31	+
NTF3	60	2.04	0.041	0.312	+
LITAF	127	2.04	0.0412	0.313	+
TRIP6	58	2.04	0.0413	0.313	+
ADCY2	68	2.03	0.0419	0.315	+
TAF6	61	2.03	0.0421	0.315	+
PHF12	45	2.03	0.0421	0.315	+
HIST1H2BC	48	2.03	0.0423	0.315	+
APEX1	74	2.03	0.0423	0.315	+
BASP1	318	2.03	0.0424	0.315	+
RAD9A	98	2.03	0.0424	0.315	+
CDK12	129	2.03	0.0425	0.315	+
POLR3C	85	2.02	0.0435	0.32	+
AEBP2	72	2.02	0.0435	0.32	+
MED10	1141	2.02	0.0437	0.32	+
JAZF1	52	2.02	0.0438	0.32	+
ZDHHC11	127	2.02	0.0439	0.321	+
GPR87	173	2.01	0.044	0.321	+
ZDHHC23	101	2.01	0.0442	0.321	+
SEPT5	30	2.01	0.0442	0.321	+
HSF1	125	2.01	0.0446	0.322	+
DIABLO	78	2.01	0.0447	0.322	+
ETV5	107	2	0.045	0.322	+
PLCH1	32	2	0.045	0.322	+
RGS20	47	2	0.0451	0.322	+
TAF2	113	2	0.0451	0.322	+
RFX8	119	2	0.0459	0.326	+
GAL	29	2	0.0459	0.326	+
YPEL5	75	1.99	0.0466	0.328	+
CLP1	62	1.99	0.0466	0.328	+
UBE2N	84	1.99	0.0467	0.328	+
ZNF853	82	1.99	0.0469	0.328	+
GTF2IRD1	123	1.99	0.0469	0.328	+
NPR3	46	1.98	0.0472	0.329	+
FOSL1	171	1.98	0.0473	0.329	+
RHEB	95	1.98	0.0476	0.33	+
ID1	97	1.98	0.0481	0.331	+
AKT3	38	1.98	0.0483	0.332	+
E2F3	82	1.97	0.0485	0.333	+
MSGN1	48	1.97	0.0493	0.335	+
ZHX2	62	1.97	0.0493	0.335	+
NFKBIZ	84	1.97	0.0493	0.335	+
PHF19	157	1.97	0.0493	0.335	+
MDM4	197	1.96	0.0495	0.335	+
ZNF800	139	1.96	0.0498	0.335	+
SUDS3	61	1.96	0.0499	0.335	+
P2RY1	145	1.96	0.0499	0.335	+
RINT1	48	1.96	0.0501	0.335	+
ATP2A2	35	1.96	0.0501	0.335	+
RASGRP2	35	1.96	0.0503	0.335	+
PLD1	55	1.96	0.0503	0.335	+
SPSB4	38	1.96	0.0504	0.335	+
RALB	130	1.96	0.0504	0.335	+
RNF43	50	1.96	0.0505	0.335	+
CNBP	61	1.96	0.0505	0.335	+
FIBP	73	1.95	0.0508	0.335	+
SGSM1	25	1.95	0.0509	0.335	+
MCHR1	25	1.95	0.051	0.335	+
RABL3	68	1.95	0.051	0.335	+
FOXK1	72	1.95	0.0511	0.336	+
ANKDD1A	38	1.94	0.0518	0.338	+
HNF4A	75	1.94	0.052	0.338	+
RPS6KB2	103	1.94	0.0522	0.338	+
RBAK	67	1.94	0.0522	0.338	+
COPS5	117	1.94	0.0523	0.338	+
ZNF273	79	1.94	0.0524	0.338	+
MDFI	82	1.94	0.0525	0.338	+
PDAP1	27	1.94	0.0527	0.339	+
SIGLEC9	25	1.93	0.0532	0.341	+
ZNF74	363	1.93	0.0533	0.341	+
ZBTB7B	100	1.93	0.0534	0.341	+
SRGAP2	72	1.93	0.0535	0.341	+
TYROBP	42	1.93	0.0537	0.341	+
KIF26A	40	1.93	0.0537	0.341	+
TGFBRAP1	66	1.93	0.0539	0.342	+
CEBPZ	137	1.93	0.0539	0.342	+
SOX12	84	1.93	0.054	0.342	+
BID	66	1.93	0.0542	0.342	+
TSPAN8	34	1.92	0.0545	0.342	+
CALM3	65	1.92	0.0546	0.343	+
MTF1	90	1.92	0.0549	0.344	+
CD4	36	1.91	0.0556	0.348	+
NFYB	101	1.91	0.0562	0.35	+
PPM1L	49	1.91	0.0564	0.35	+
ZNHIT3	155	1.9	0.0571	0.354	+
PTPRT	52	1.9	0.0575	0.355	+
ARHGEF5	80	1.9	0.0578	0.356	+
BMPR2	68	1.9	0.058	0.356	+
GATA1	40	1.9	0.0581	0.356	+
CHST11	27	1.89	0.0582	0.356	+
DUXA	58	1.89	0.0582	0.356	+
IDH1	44	1.89	0.0583	0.356	+
GTF2A1L	129	1.89	0.0585	0.356	+
DOK5	36	1.89	0.0586	0.356	+
PRMT1	80	1.89	0.0587	0.356	+
PBXIP1	109	1.89	0.0589	0.357	+
RAB2A	86	1.89	0.059	0.358	+
LPP	54	1.89	0.0594	0.36	+
SOX4	59	1.88	0.0598	0.361	+
RBM39	103	1.88	0.06	0.361	+
GKAP1	68	1.88	0.0601	0.361	+
NRXN1	109	1.88	0.0602	0.361	+
RUVBL2	157	1.88	0.0603	0.361	+
IL11	171	1.88	0.0606	0.362	+
EDN1	34	1.88	0.0607	0.362	+
NKX2-1	145	1.87	0.0608	0.362	+
IL1RAP	59	1.87	0.0611	0.362	+
HIST1H2AL	40	1.87	0.0613	0.363	+
RGL2	64	1.87	0.0616	0.364	+
PLAGL2	96	1.87	0.0617	0.364	+
ROPN1	62	1.87	0.0618	0.364	+
GPR156	64	1.87	0.0619	0.364	+
PRKAG1	51	1.87	0.0621	0.365	+
TRIM28	46	1.86	0.0625	0.365	+
C5AR1	26	1.86	0.0625	0.365	+
BCL2L13	30	1.86	0.0628	0.366	+
SND1	124	1.86	0.0631	0.366	+
RTF1	62	1.86	0.0632	0.366	+
PTPN14	271	1.86	0.0632	0.366	+
PPP4C	141	1.86	0.0634	0.366	+
AIFM1	40	1.85	0.0636	0.367	+
GPR89A	70	1.85	0.0636	0.367	+
NCOA6	134	1.85	0.0637	0.367	+
ELK1	43	1.85	0.0639	0.367	+
TARBP2	174	1.85	0.0641	0.368	+
ARF5	57	1.85	0.0643	0.369	+
TAF5L	83	1.85	0.0644	0.369	+
GDF6	152	1.84	0.0652	0.372	+
YWHAH	51	1.84	0.0654	0.372	+
NLGN1	101	1.84	0.0655	0.372	+
PRAME	35	1.84	0.0655	0.372	+
SUB1	151	1.84	0.0658	0.372	+
GAP43	39	1.84	0.0658	0.372	+
MYO10	74	1.84	0.0659	0.372	+
CSDC2	212	1.84	0.0663	0.372	+
MYO1E	102	1.84	0.0663	0.372	+
MSC	75	1.83	0.0669	0.374	+
ARFRP1	84	1.83	0.0669	0.374	+
DDR2	50	1.83	0.0669	0.374	+
ATF4	85	1.83	0.0671	0.374	+
SCX	81	1.83	0.0671	0.374	+
TCEAL3	115	1.83	0.0674	0.375	+
ZNF789	130	1.83	0.0676	0.375	+
OR10J1	45	1.83	0.0676	0.375	+
CARD14	55	1.83	0.0677	0.375	+
PMF1	163	1.83	0.0678	0.375	+
OPHN1	66	1.83	0.068	0.375	+
MAK	351	1.82	0.0682	0.376	+
CFL1	142	1.82	0.0683	0.377	+
MAPRE3	164	1.82	0.0684	0.377	+
OR4E2	40	1.82	0.0686	0.377	+
ZNF750	73	1.82	0.0686	0.377	+
TGIF1	56	1.82	0.0688	0.377	+
CD47	29	1.82	0.0689	0.377	+
RUNX2	106	1.82	0.0689	0.377	+
ZNF608	68	1.82	0.0689	0.377	+
ZBTB11	90	1.82	0.0692	0.378	+
GATAD2A	59	1.82	0.0693	0.378	+
ZNF672	58	1.82	0.0693	0.378	+
PPP2R5C	111	1.82	0.0694	0.378	+
OR5K4	40	1.81	0.0699	0.379	+
RICTOR	34	1.81	0.0701	0.379	+
MMP14	222	1.81	0.0703	0.379	+
KRAS	52	1.81	0.0703	0.379	+
MED19	97	1.81	0.0706	0.38	+
DLL3	66	1.81	0.0706	0.38	+
CBX3	161	1.81	0.071	0.38	+
MAP4K3	82	1.81	0.071	0.38	+
HIF1A	119	1.8	0.0712	0.38	+
BRIP1	89	1.8	0.0713	0.38	+
TBX3	49	1.8	0.0716	0.381	+
RGS22	66	1.8	0.0723	0.383	+
ZSCAN21	57	1.8	0.0724	0.383	+
CDC42EP3	56	1.79	0.0732	0.386	+
CLIC1	155	1.79	0.0732	0.386	+
ZNF217	83	1.79	0.0737	0.388	+
HIST1H4B	28	1.79	0.0738	0.388	+
ZNF790	29	1.79	0.074	0.388	+
CABYR	100	1.79	0.0743	0.389	+
TBX20	40	1.78	0.0745	0.389	+
EIF2A	70	1.78	0.0745	0.389	+
AVP	41	1.78	0.0746	0.389	+
MYT1	90	1.78	0.0747	0.389	+
SOX9	77	1.78	0.0749	0.389	+
PI4KB	57	1.78	0.075	0.389	+
PAX9	167	1.78	0.075	0.389	+
P2RX2	25	1.78	0.0751	0.389	+
RAB6B	82	1.78	0.0751	0.389	+
HOXC5	54	1.78	0.0752	0.389	+
GSK3B	71	1.78	0.0753	0.389	+
ZNF761	43	1.78	0.0753	0.389	+
ZNF704	43	1.78	0.0755	0.39	+
NFKBIA	33	1.78	0.0758	0.39	+
PPP1R12B	33	1.78	0.0759	0.39	+
TRAK2	206	1.77	0.076	0.39	+
RAB10	49	1.77	0.076	0.39	+
SOX2	566	1.77	0.0761	0.39	+
ZNF26	64	1.77	0.0762	0.39	+
ARID5A	192	1.77	0.0763	0.39	+
RRBP1	108	1.77	0.0764	0.391	+
MAP4K4	89	1.77	0.0768	0.391	+
CNIH3	49	1.77	0.0768	0.391	+
ZNF343	150	1.77	0.0768	0.391	+
OR10K2	44	1.77	0.0769	0.391	+
ZNF197	56	1.77	0.0773	0.392	+
MRPL12	489	1.76	0.0778	0.394	+
SOX18	26	1.76	0.0778	0.394	+
MESP2	49	1.76	0.0779	0.394	+
RBFOX2	81	1.76	0.078	0.394	+
TWIST1	80	1.76	0.078	0.394	+
GPR146	26	1.76	0.0782	0.394	+
RAB41	42	1.76	0.0783	0.394	+
DERL1	63	1.76	0.0786	0.394	+
SUPT7L	124	1.76	0.0786	0.394	+
DPF2	32	1.76	0.0787	0.394	+
FOXH1	109	1.76	0.0788	0.394	+
OR10X1	56	1.76	0.0792	0.394	+
SH2D3C	52	1.75	0.0793	0.394	+
GATA2	52	1.75	0.0793	0.394	+
BTG2	60	1.75	0.0793	0.394	+
OR2AE1	58	1.75	0.0793	0.394	+
ZNF716	83	1.75	0.0794	0.394	+
HDAC9	130	1.75	0.0798	0.394	+
FOXJ1	82	1.75	0.0798	0.394	+
PLXNA2	34	1.75	0.08	0.394	+
PLCB3	75	1.75	0.08	0.394	+
CHRNB2	33	1.75	0.08	0.394	+
ITGAL	39	1.75	0.0809	0.396	+
CCL28	44	1.75	0.081	0.396	+
MAMLD1	95	1.74	0.0818	0.398	+
ARHGAP36	41	1.74	0.0819	0.398	+
PTGIR	26	1.74	0.0821	0.398	+
ZMAT1	156	1.74	0.0822	0.398	+
PPP2R5A	95	1.74	0.0822	0.398	+
ZDHHC19	65	1.74	0.0826	0.399	+
RANBP2	145	1.73	0.0829	0.399	+
FOXO4	71	1.73	0.0831	0.399	+
STK3	60	1.73	0.0835	0.4	+
UBP1	58	1.73	0.0841	0.403	+
PAK5	45	1.73	0.0843	0.403	+
ZNF703	118	1.73	0.0844	0.403	+
ZNF212	51	1.73	0.0844	0.403	+
CRTC2	96	1.72	0.0847	0.403	+
KMT2E	90	1.72	0.0847	0.403	+
MUC1	179	1.72	0.085	0.404	+
SOX11	59	1.72	0.0853	0.405	+
TRPS1	60	1.72	0.0855	0.405	+
ZNF804A	68	1.72	0.0857	0.405	+
ZNF793	55	1.72	0.0857	0.405	+
JUP	395	1.72	0.0859	0.405	+
FOXS1	28	1.72	0.086	0.405	+
SH2B3	33	1.72	0.0861	0.405	+
HES1	56	1.72	0.0861	0.405	+
