Regulon	Size	NES	p.value	FDR	Sign
SIRPB1	86	2.19	0.0288	0.316	+
DUSP22	36	2.19	0.0288	0.316	+
STAT1	136	2.19	0.0288	0.316	+
CNIH3	50	2.18	0.0289	0.316	+
ZNF132	41	2.18	0.0291	0.316	+
ARF3	40	2.18	0.0291	0.316	+
CCNL1	196	2.18	0.0291	0.316	+
NEK6	42	2.18	0.0292	0.316	+
HIST1H2BJ	37	2.18	0.0293	0.316	+
GUCA1A	35	2.18	0.0294	0.316	+
HOXA13	85	2.18	0.0294	0.316	+
MMP14	225	2.18	0.0295	0.316	+
MYT1	95	2.18	0.0296	0.316	+
TP53	118	2.18	0.0296	0.316	+
ZBTB46	125	2.17	0.0297	0.316	+
RARA	111	2.17	0.0298	0.316	+
PRKDC	26	2.17	0.0299	0.316	+
ECT2	69	2.17	0.0299	0.316	+
PLCH1	67	2.17	0.03	0.316	+
RFC4	113	2.17	0.0302	0.316	+
HIPK3	80	2.17	0.0303	0.316	+
MSTN	40	2.16	0.0304	0.316	+
UACA	37	2.16	0.0305	0.316	+
NUP93	50	2.16	0.0307	0.316	+
ITGA10	52	2.16	0.0307	0.316	+
PTGIS	37	2.16	0.0307	0.316	+
FMN2	55	2.15	0.0313	0.319	+
SUPT4H1	28	2.15	0.0315	0.321	+
RARG	64	2.15	0.0317	0.321	+
ASAP3	52	2.15	0.0318	0.321	+
ZNF804B	41	2.15	0.0319	0.321	+
ZNF367	100	2.15	0.0319	0.321	+
OPN3	42	2.14	0.0321	0.321	+
GDNF	140	2.14	0.0324	0.322	+
TBC1D24	29	2.14	0.0325	0.322	+
SIVA1	111	2.14	0.0326	0.322	+
TLE1	35	2.14	0.0327	0.322	+
ZDHHC24	46	2.13	0.0328	0.322	+
AIFM3	65	2.13	0.0328	0.322	+
CRHR2	33	2.13	0.0329	0.322	+
AGT	39	2.13	0.033	0.322	+
TSC22D2	161	2.13	0.033	0.322	+
SLIRP	261	2.13	0.033	0.322	+
JAG1	54	2.13	0.0333	0.322	+
SUZ12	133	2.13	0.0334	0.322	+
RAC2	39	2.13	0.0334	0.322	+
SCYL1	86	2.13	0.0334	0.322	+
ZMYND19	188	2.12	0.0337	0.322	+
PPP1R12B	85	2.12	0.0337	0.322	+
ZNF180	45	2.12	0.0339	0.322	+
DNMT1	119	2.12	0.0339	0.322	+
GPR39	71	2.12	0.034	0.322	+
SOX10	110	2.12	0.0341	0.322	+
PTPRK	57	2.12	0.0341	0.322	+
MDM2	31	2.12	0.0343	0.323	+
MSH2	103	2.12	0.0344	0.323	+
TLR5	124	2.11	0.0347	0.323	+
SARNP	62	2.11	0.0347	0.323	+
FLRT2	67	2.11	0.0353	0.324	+
ITGA11	35	2.1	0.0353	0.324	+
CECR2	32	2.1	0.0355	0.324	+
HSP90AB1	59	2.1	0.0355	0.324	+
PEX11A	47	2.1	0.0355	0.324	+
THRA	52	2.1	0.0356	0.324	+
E2F4	80	2.1	0.0356	0.324	+
EHF	116	2.1	0.0358	0.324	+
TMPO	280	2.1	0.0358	0.324	+
RAB6B	102	2.1	0.0359	0.324	+
MRRF	67	2.1	0.0361	0.325	+
ZC3HAV1	71	2.09	0.0363	0.325	+
ARHGAP27	83	2.09	0.0363	0.325	+
CSDC2	152	2.09	0.0364	0.325	+
SHOX2	81	2.09	0.0365	0.325	+
CENPB	27	2.09	0.0369	0.325	+
MTDH	93	2.08	0.0373	0.325	+
KREMEN1	41	2.08	0.0373	0.325	+
GSPT1	53	2.08	0.0373	0.325	+
SPG21	57	2.08	0.0374	0.325	+
LHB	35	2.08	0.0375	0.325	+
PPT1	57	2.08	0.0377	0.325	+
ADGRB1	60	2.08	0.0377	0.325	+
PDE2A	48	2.08	0.0378	0.325	+
MACC1	470	2.08	0.0379	0.325	+
RPGRIP1L	27	2.08	0.038	0.325	+
ITGB3	40	2.07	0.038	0.325	+
NFE2	54	2.07	0.0381	0.325	+
GTF2H4	69	2.07	0.0384	0.325	+
ZFAND3	59	2.07	0.0384	0.325	+
GHRH	147	2.07	0.0385	0.325	+
ZKSCAN5	61	2.07	0.0385	0.325	+
SEC14L2	249	2.07	0.0386	0.325	+
NPBWR1	55	2.07	0.0387	0.325	+
ITSN2	94	2.07	0.0388	0.325	+
RNF10	255	2.06	0.039	0.325	+
RPH3AL	64	2.06	0.0393	0.325	+
PDE11A	55	2.06	0.0394	0.325	+
RFX8	259	2.06	0.0394	0.325	+
SNW1	118	2.06	0.0395	0.325	+
ADAM11	94	2.06	0.0397	0.325	+
FOXF2	109	2.05	0.04	0.325	+
FOXM1	164	2.05	0.0401	0.325	+
CHRNA5	39	2.05	0.0401	0.325	+
FGF23	28	2.05	0.0402	0.325	+
CSH2	29	2.05	0.0402	0.325	+
SRPK2	69	2.05	0.0404	0.325	+
PRAME	73	2.05	0.0406	0.325	+
C9	40	2.05	0.0407	0.325	+
RERG	39	2.05	0.0407	0.325	+
NLGN1	60	2.05	0.0407	0.325	+
POLD1	103	2.05	0.0407	0.325	+
EFCAB6	335	2.04	0.041	0.325	+
HIP1	104	2.04	0.041	0.325	+
TOP1	133	2.04	0.0412	0.325	+
CAV1	114	2.04	0.0412	0.325	+
ELAVL2	246	2.04	0.0415	0.325	+
MC5R	34	2.04	0.0415	0.325	+
CDK18	59	2.04	0.0415	0.325	+
RASSF5	68	2.04	0.0416	0.325	+
SOX1	48	2.04	0.0416	0.325	+
PRKCI	29	2.04	0.0418	0.325	+
MRPL12	253	2.04	0.0418	0.325	+
PHF5A	108	2.04	0.0418	0.325	+
IFNL1	48	2.04	0.0418	0.325	+
CDK2	67	2.03	0.0419	0.325	+
CYCS	89	2.03	0.042	0.325	+
KSR1	34	2.03	0.0423	0.325	+
CD3EAP	64	2.03	0.0424	0.325	+
PTRF	415	2.03	0.0425	0.325	+
PLCB1	37	2.03	0.0426	0.325	+
TFIP11	40	2.03	0.0427	0.325	+
PLEKHG6	77	2.03	0.0428	0.325	+
DEK	46	2.03	0.0429	0.325	+
RTKN	51	2.02	0.0431	0.325	+
JMJD6	31	2.02	0.0432	0.325	+
CCDC59	195	2.02	0.0433	0.325	+
SETD3	192	2.02	0.0435	0.325	+
AVPR2	29	2.02	0.0437	0.325	+
CA8	56	2.02	0.0438	0.325	+
IFI6	50	2.02	0.0439	0.325	+
GTF2A1	301	2.01	0.0439	0.325	+
FOXF1	52	2.01	0.044	0.325	+
PLCB4	43	2.01	0.0443	0.325	+
FRS2	53	2.01	0.0443	0.325	+
NACA	87	2.01	0.0445	0.325	+
HOXD13	94	2.01	0.0447	0.325	+
CNIH2	52	2.01	0.0447	0.325	+
PPP5C	27	2.01	0.0447	0.325	+
TFEC	120	2	0.0451	0.326	+
B2M	52	2	0.0451	0.326	+
ZNF334	26	2	0.0452	0.326	+
MGST3	30	2	0.0453	0.326	+
BTG2	167	2	0.0456	0.327	+
RANBP1	57	2	0.0456	0.327	+
SET	83	2	0.0457	0.327	+
ZFYVE26	146	1.99	0.046	0.328	+
CDKN1B	79	1.99	0.0465	0.329	+
P2RY6	50	1.99	0.0465	0.329	+
SPRED3	38	1.99	0.047	0.331	+
OR11G2	31	1.99	0.0471	0.331	+
ARHGAP44	26	1.98	0.0472	0.331	+
HIST1H4I	35	1.98	0.0472	0.331	+
OR6C74	36	1.98	0.0472	0.331	+
ANXA1	67	1.98	0.0473	0.331	+
ZNF280A	102	1.98	0.0475	0.331	+
GTF2IRD2	119	1.98	0.0475	0.331	+
VDR	181	1.98	0.0478	0.332	+
IGFBP3	44	1.98	0.048	0.333	+
ZNF667	77	1.97	0.0484	0.335	+
RAB12	45	1.97	0.0485	0.335	+
DAXX	34	1.97	0.0487	0.335	+
HOXC9	133	1.97	0.0487	0.335	+
AGRN	382	1.97	0.0488	0.336	+
ZNF469	133	1.97	0.0489	0.336	+
EED	125	1.96	0.0496	0.337	+
MED12L	168	1.96	0.0498	0.337	+
E2F1	211	1.96	0.0504	0.338	+
RUNX2	54	1.96	0.0506	0.339	+
PXN	71	1.95	0.051	0.34	+
KHDRBS3	277	1.95	0.0512	0.34	+
ZDHHC19	72	1.94	0.0518	0.342	+
NGFR	52	1.94	0.0522	0.344	+
PLXNB3	41	1.94	0.0524	0.344	+
KLF17	42	1.94	0.0527	0.345	+
EPHA6	89	1.94	0.0528	0.345	+
PIP4K2B	58	1.94	0.0529	0.345	+
TNK1	33	1.94	0.0529	0.345	+
OR4K17	30	1.93	0.0533	0.346	+
RGS22	65	1.93	0.0534	0.346	+
PAWR	38	1.93	0.0535	0.346	+
IL10	232	1.93	0.0537	0.346	+
IL13RA1	58	1.93	0.0538	0.346	+
ZNF830	94	1.93	0.0539	0.346	+
ARHGEF33	92	1.93	0.054	0.346	+
BASP1	237	1.93	0.054	0.346	+
SOX17	84	1.93	0.0542	0.346	+
INSM1	72	1.93	0.0542	0.346	+
FOXH1	111	1.93	0.0542	0.346	+
EP300	61	1.92	0.0542	0.346	+
FOSL1	106	1.92	0.0545	0.346	+
ETV5	90	1.92	0.0545	0.346	+
MEN1	45	1.92	0.0545	0.346	+
PAK4	60	1.92	0.0546	0.346	+
CRABP1	30	1.92	0.0548	0.347	+
PFDN5	174	1.92	0.0549	0.347	+
PPP2R5D	41	1.92	0.0551	0.347	+
PAK5	69	1.91	0.0555	0.347	+
SP3	54	1.91	0.0555	0.347	+
SRC	42	1.91	0.0556	0.347	+
HMGA1	129	1.91	0.0557	0.347	+
PRKCA	26	1.91	0.0557	0.347	+
SCARB1	68	1.91	0.0558	0.347	+
PAK1IP1	115	1.91	0.0559	0.347	+
PML	120	1.91	0.0559	0.347	+
DDX17	62	1.91	0.056	0.347	+
GPR68	70	1.91	0.0561	0.347	+
RBCK1	91	1.91	0.0563	0.347	+
ZSWIM5	73	1.91	0.0563	0.347	+
HOXB4	73	1.91	0.0563	0.347	+
MAPK3	52	1.91	0.0564	0.347	+
SARM1	63	1.91	0.0564	0.347	+
ZDHHC9	118	1.91	0.0566	0.347	+
RAB25	115	1.91	0.0567	0.347	+
RALGPS1	72	1.91	0.0567	0.347	+
BAZ1A	92	1.91	0.0568	0.347	+
MED21	72	1.9	0.0568	0.347	+
ITGAV	46	1.9	0.0569	0.347	+
TGFB1	94	1.9	0.0569	0.347	+
SREBF2	52	1.9	0.0572	0.348	+
TCEA2	310	1.9	0.0575	0.349	+
NCOA2	116	1.9	0.0575	0.349	+
SOD2	30	1.9	0.0578	0.35	+
HOXA2	45	1.9	0.0579	0.35	+
ZC3H6	73	1.9	0.058	0.35	+
CYP27B1	63	1.9	0.0581	0.35	+
REN	68	1.89	0.0581	0.35	+
NPAS4	64	1.89	0.0588	0.351	+
SUV39H2	75	1.89	0.0589	0.351	+
WWOX	68	1.89	0.0589	0.351	+
GAP43	39	1.89	0.059	0.351	+
RADIL	43	1.89	0.0591	0.351	+
SNAI2	252	1.89	0.0594	0.352	+
CLDN4	47	1.88	0.0596	0.353	+
PTPRT	48	1.88	0.0598	0.353	+
ADGRF1	62	1.88	0.0599	0.354	+
PLEKHG4B	44	1.88	0.0601	0.354	+
TAS2R30	40	1.88	0.0602	0.354	+
PKDREJ	47	1.88	0.0604	0.354	+
POU6F2	133	1.88	0.0606	0.354	+
KREMEN2	53	1.87	0.061	0.355	+
RHOB	60	1.87	0.0611	0.355	+
PA2G4	141	1.87	0.0615	0.355	+
LIFR	102	1.87	0.0618	0.355	+
PKIA	152	1.87	0.0618	0.355	+
OR2T4	44	1.86	0.0623	0.356	+
CCND3	41	1.86	0.0624	0.356	+
PRDM16	28	1.86	0.0624	0.356	+
ZNF34	67	1.86	0.0626	0.356	+
RREB1	141	1.86	0.0628	0.357	+
PGBD1	104	1.86	0.0632	0.357	+
PIP5K1A	50	1.85	0.0639	0.357	+
FOXE1	95	1.85	0.0641	0.357	+
HOXB6	43	1.85	0.0642	0.357	+
IL1RAP	61	1.85	0.0643	0.357	+
COLEC12	38	1.85	0.0644	0.357	+
PC	58	1.85	0.0646	0.357	+
RAB37	26	1.85	0.0648	0.357	+
ASXL2	391	1.85	0.0649	0.357	+
DCDC2	37	1.85	0.0649	0.357	+
LZTR1	78	1.85	0.065	0.357	+
BAIAP2L2	31	1.84	0.065	0.357	+
SLC35B2	36	1.84	0.0652	0.357	+
ZNF391	48	1.84	0.0655	0.357	+
DAP	48	1.84	0.0655	0.357	+
NEK11	77	1.84	0.0658	0.357	+
PREX1	27	1.84	0.066	0.357	+
PEG10	26	1.84	0.0661	0.357	+
NAMPT	60	1.84	0.0662	0.357	+
CKS1B	175	1.84	0.0662	0.357	+
INSIG2	35	1.84	0.0664	0.357	+
TGS1	98	1.83	0.0666	0.357	+
NFIL3	61	1.83	0.0667	0.357	+
TLX2	82	1.83	0.0667	0.357	+
PRKCE	66	1.83	0.0668	0.357	+
PRDX1	116	1.83	0.067	0.357	+
GNAI1	46	1.83	0.067	0.357	+
PAX6	62	1.83	0.067	0.357	+
OR5AU1	43	1.83	0.0672	0.357	+
CRTC3	123	1.83	0.0677	0.358	+
BHLHE23	60	1.83	0.0678	0.358	+
MCM2	162	1.83	0.0678	0.358	+
PIAS2	106	1.82	0.0682	0.359	+
CBX7	447	1.82	0.0688	0.361	+
GABBR1	76	1.82	0.0689	0.361	+
TBX3	94	1.82	0.0691	0.361	+
TDG	247	1.82	0.0692	0.361	+
PPBP	48	1.82	0.0693	0.361	+
ERN1	42	1.81	0.0696	0.361	+
SNX6	50	1.81	0.0697	0.361	+
ADAM17	84	1.81	0.0703	0.364	+
IL4R	90	1.81	0.0705	0.364	+
ATF3	37	1.81	0.0706	0.364	+
MN1	71	1.81	0.0707	0.364	+
ADRB3	36	1.81	0.0709	0.364	+
ELF5	147	1.81	0.071	0.364	+
SHANK2	107	1.8	0.0712	0.364	+
CD34	26	1.8	0.0713	0.364	+
CSK	43	1.8	0.0713	0.364	+
MED13	57	1.8	0.0715	0.364	+
MED27	75	1.8	0.0716	0.364	+
CSNK1E	41	1.8	0.0722	0.364	+
OR14A16	35	1.8	0.0723	0.364	+
BHLHA15	64	1.8	0.0723	0.364	+
EIF2AK2	127	1.8	0.0724	0.364	+
GPS1	62	1.8	0.0724	0.364	+
TBPL1	100	1.8	0.0725	0.364	+
ARTN	75	1.8	0.0725	0.364	+
HCRT	32	1.8	0.0727	0.364	+
TWIST1	58	1.79	0.0727	0.364	+
ZDHHC14	31	1.79	0.0728	0.364	+
LANCL2	61	1.79	0.0728	0.364	+
RBBP8	107	1.79	0.0731	0.364	+
CBX2	114	1.79	0.0733	0.364	+
SMAD6	56	1.79	0.0735	0.364	+
TAF1B	54	1.79	0.0735	0.364	+
HOMER2	54	1.79	0.0736	0.364	+
HMGA2	130	1.79	0.0736	0.364	+
ZCWPW1	69	1.79	0.0737	0.364	+
MAPK11	37	1.79	0.0739	0.364	+
GRHL1	188	1.79	0.074	0.364	+
BMP2	35	1.79	0.074	0.364	+
ZNF185	194	1.78	0.0744	0.364	+
OR10S1	40	1.78	0.0744	0.364	+
TRIP11	122	1.78	0.0745	0.364	+
ZNF219	70	1.78	0.0745	0.364	+
ZSCAN18	39	1.78	0.0746	0.364	+
MLXIPL	207	1.78	0.0748	0.364	+
FGF19	40	1.78	0.0749	0.364	+
TFAP2D	55	1.78	0.0749	0.364	+
ELK4	54	1.78	0.075	0.364	+
HDAC9	315	1.78	0.0751	0.364	+
RHOJ	38	1.78	0.0752	0.364	+
STAT5B	52	1.78	0.0753	0.364	+
GPHN	26	1.78	0.0754	0.364	+
ZFP92	68	1.78	0.0755	0.365	+
KCNK10	63	1.78	0.0758	0.365	+
ZFR	77	1.77	0.0763	0.366	+
ADCY1	25	1.77	0.0763	0.366	+
CDC42BPG	44	1.77	0.0764	0.366	+
GIGYF1	45	1.77	0.0766	0.366	+
AHCTF1	90	1.77	0.0767	0.366	+
KCNH6	50	1.77	0.0768	0.366	+
HOXD8	96	1.77	0.0768	0.366	+
HNF1A	88	1.77	0.077	0.366	+
PIM1	391	1.77	0.0774	0.366	+
OR4L1	48	1.77	0.0774	0.366	+
